Ticker,Tot.Ret.Idx.Gross,Last.Price,Volume,Mkt.Cap,R.D.Exp,Patents...Trademarks...Copy.Rgt,Number.of.Employees,GM,Rev...1.Yr.Gr,Volatil.360D,BEst.Analyst.Rtg,GICS.Ind.Grp.Name,Tot...Hldg.in.Port,Top.10.as.of.Dt,BEst.Target.Px,Rec.Consensus,Earnings.Conference.Call.Date,Tot.Analyst.Rec,News.Sent,Percent.Change.in.Institutional.Holdings,Shrt.Int,fund_id,fund_name,fund_weight,dumac_allocation,as_of_date,shares_held,position_value,fund_weight_raw,abs_weight
AAPL US,269.025,271.31,9581922,3.98E+12,34550,#N/A N/A,166000,46.90516411,6.425511783,30.00272833,4.081967354,Technology Hardware & Equipmen,#N/A Field Not Applicable,#N/A Field Not Applicable,285.1219482,4.081967354,#N/A N/A,61,0.012162857,17.65425196,115557836,bf:3356011,Numerai GP LLC (Blackwell - Series A),-1.22e-7,0.013157895,12/31/2024,-0.005648487,0,-1.22e-7,1.22e-7
AAPL US,269.025,271.31,9581922,3.98E+12,34550,#N/A N/A,166000,46.90516411,6.425511783,30.00272833,4.081967354,Technology Hardware & Equipmen,#N/A Field Not Applicable,#N/A Field Not Applicable,285.1219482,4.081967354,#N/A N/A,61,0.012162857,17.65425196,115557836,bf:1639201,Discerene Group LP (Blackwell - Series A),-0.004111481,0.013157895,12/31/2024,-15108.72001,-4070742.433,-0.004111481,0.004111481
MSFT US,493.2,493.823,4450772,3.67E+12,32488,#N/A N/A,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,#N/A Field Not Applicable,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),5.98094e-4,0.013157895,12/31/2024,242.9198977,2144541.16,5.98094e-4,5.98094e-4
MSFT US,493.2,493.823,4450772,3.67E+12,32488,#N/A N/A,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,#N/A Field Not Applicable,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),0.005139171,0.013157895,12/31/2024,1402.539825,709685.1515,0.005139171,0.005139171
MSFT US,493.2,493.823,4450772,3.67E+12,32488,#N/A N/A,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,#N/A Field Not Applicable,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),-3.94038e-4,0.013157895,12/31/2024,-242.9198977,-1513359.899,-3.94038e-4,3.94038e-4
MSFT US,493.2,493.823,4450772,3.67E+12,32488,#N/A N/A,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,#N/A Field Not Applicable,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:461753,The Children's Investment Fund,0.11,0.013157895,12/31/2024,47031.07031,24402913.84,0.11,0.11
MSFT US,493.2,493.823,4450772,3.67E+12,32488,#N/A N/A,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,#N/A Field Not Applicable,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:2184853,"BWCP, LP (Blackwell Series - A)",0.059156724,0.013157895,12/31/2024,15800.45265,7995029.043,0.059156724,0.059156724
MSFT US,493.2,493.823,4450772,3.67E+12,32488,#N/A N/A,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,#N/A Field Not Applicable,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:1257479,Gladstone Capital Management LLP (Blackwell - Series E),0.077235075,0.013157895,12/31/2024,33809.91641,17107817.7,0.077235075,0.077235075
MSFT US,493.2,493.823,4450772,3.67E+12,32488,#N/A N/A,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,#N/A Field Not Applicable,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:2198791,Stony Point Capital LLC (Blackwell - Series E),0.052741388,0.013157895,12/31/2024,11283.63561,5709519.617,0.052741388,0.052741388
MSFT US,493.2,493.823,4450772,3.67E+12,32488,#N/A N/A,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,#N/A Field Not Applicable,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:461839,"Bridgewater Pure Alpha Fund II, Ltd.",0.005517799,0.013157895,12/31/2024,0.002805354,724428.6794,0.005517799,0.005517799
