Ticker,Tot.Ret.Idx.Gross,Last.Price,Volume,Mkt.Cap,R.D.Exp,Patents...Trademarks...Copy.Rgt,Number.of.Employees,GM,Rev...1.Yr.Gr,Volatil.360D,BEst.Analyst.Rtg,GICS.Ind.Grp.Name,Tot...Hldg.in.Port,Top.10.as.of.Dt,BEst.Target.Px,Rec.Consensus,Earnings.Conference.Call.Date,Tot.Analyst.Rec,News.Sent,Percent.Change.in.Institutional.Holdings,Shrt.Int,fund_id,fund_name,fund_weight,dumac_allocation,as_of_date,shares_held,position_value,fund_weight_raw,abs_weight
PDD US,118.88,119.008,4969341,1.69E+11,12659.361,#N/A N/A,23465,60.92273533,59.0362467,54.50338443,4.350877285,Consumer Discretionary Distrib,#N/A Field Not Applicable,#N/A Field Not Applicable,144.5081635,4.350877285,#N/A N/A,57,-0.197489111,4.27578911,20749586,bf:1898027,"Sequoia Capital Global Growth Fund III - Endurance Partners, LP",0.023506413,0.013157895,12/31/2024,3696.107958,488514.5887,0.023506413,0.023506413
PDD US,118.88,119.008,4969341,1.69E+11,12659.361,#N/A N/A,23465,60.92273533,59.0362467,54.50338443,4.350877285,Consumer Discretionary Distrib,#N/A Field Not Applicable,#N/A Field Not Applicable,144.5081635,4.350877285,#N/A N/A,57,-0.197489111,4.27578911,20749586,bf:2098153,"Sequoia Capital Global Growth Fund III - U.S./India Annex Fund, LP",0.023506382,0.013157895,12/31/2024,630.0555217,83274.4383,0.023506382,0.023506382
BIDU US,113.445,115.088,1235477,39773529871,22133,283,35900,50.34591549,-1.094369901,46.2832842,4.540540695,Media & Entertainment,#N/A Field Not Applicable,#N/A Field Not Applicable,149.3088226,4.540540695,#N/A N/A,37,-0.487459125,6.75010693,6463495,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTES US,135.89,134.17,587607,86045314813,17524.812,#N/A N/A,26028,62.49768413,1.765835033,38.6258965,4.810811043,Media & Entertainment,#N/A Field Not Applicable,#N/A Field Not Applicable,164.75,4.810811043,11/20/2025,37,0.08477015,9.48192055,2108159,NA,NA,NA,NA,NA,NA,NA,NA,NA
RELIANCE IN,1518.9,1518.9,5982320,2.06E+13,#N/A N/A,90870,403303,#N/A N/A,7.061540579,20.49416,4.6842103,Energy,#N/A Field Not Applicable,#N/A Field Not Applicable,1684.028564,4.6842103,#N/A N/A,38,-0.002662777,231.5288038,#N/A N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA
INFY US,17.3,17.305,1666741,71871143338,12960,2280,323578,30.45769679,6.064944361,26.27683008,3.75,Software & Services,#N/A Field Not Applicable,#N/A Field Not Applicable,18.17823029,3.75,#N/A N/A,16,0.959177424,-3.488762579,147837881,NA,NA,NA,NA,NA,NA,NA,NA,NA
APH US,134.33,136.065,1086665,1.64E+11,453,269.1,125000,33.76339283,21.2510056,35.62482545,4.300000191,Technology Hardware & Equipmen,#N/A Field Not Applicable,#N/A Field Not Applicable,148.3157959,4.300000191,1/28/2026,20,0,23.9261019,9434248,bf:3356011,Numerai GP LLC (Blackwell - Series A),2.9131e-4,0.013157895,12/31/2024,253.6170715,36482.81574,2.9131e-4,2.9131e-4
HDB US,37.04,36.83,714832,1.90E+11,#N/A N/A,#N/A N/A,214521,#N/A N/A,15.38111314,22.27408849,5,Banks,#N/A Field Not Applicable,#N/A Field Not Applicable,43.74000168,5,#N/A N/A,6,0.008440296,65.14687286,16084965,NA,NA,NA,NA,NA,NA,NA,NA,NA
IBN US,31.3,31.16,833619,1.12E+11,#N/A N/A,#N/A N/A,129177,#N/A N/A,58.56966406,20.10340074,5,Banks,#N/A Field Not Applicable,#N/A Field Not Applicable,39.79999924,5,#N/A N/A,4,-0.039621853,-2.376940291,22658801,bf:1249015,"Nantahala Capital Mangement, LLC (Blackwell - Series A)",-0.002266295,0.013157895,12/31/2024,-39741.80747,-623151.5411,-0.002266295,0.002266295
IBN US,31.3,31.16,833619,1.12E+11,#N/A N/A,#N/A N/A,129177,#N/A N/A,58.56966406,20.10340074,5,Banks,#N/A Field Not Applicable,#N/A Field Not Applicable,39.79999924,5,#N/A N/A,4,-0.039621853,-2.376940291,22658801,bf:3356011,Numerai GP LLC (Blackwell - Series A),-3.46955e-4,0.013157895,12/31/2024,-2771.147779,-43451.59718,-3.46955e-4,3.46955e-4
005930 KS,97700,97700,29310533,5.78E+14,35021531,#N/A N/A,#N/A N/A,37.99258548,16.19531118,35.07429,4.666666508,Technology Hardware & Equipmen,#N/A Field Not Applicable,#N/A Field Not Applicable,130226.3594,4.666666508,#N/A N/A,42,-0.008355675,61.72595291,#N/A N/A,bf:1098061,Direct: Emerging Markets (Blackwell),-1.29e-9,0.013157895,12/31/2024,0.005610159,0,-1.29e-9,1.29e-9
005930 KS,97700,97700,29310533,5.78E+14,35021531,#N/A N/A,#N/A N/A,37.99258548,16.19531118,35.07429,4.666666508,Technology Hardware & Equipmen,#N/A Field Not Applicable,#N/A Field Not Applicable,130226.3594,4.666666508,#N/A N/A,42,-0.008355675,61.72595291,#N/A N/A,bf:461755,Tree Line Asia Fund,0.033596475,0.013157895,12/31/2024,120096.1974,6021006.982,0.033596475,0.033596475
005930 KS,97700,97700,29310533,5.78E+14,35021531,#N/A N/A,#N/A N/A,37.99258548,16.19531118,35.07429,4.666666508,Technology Hardware & Equipmen,#N/A Field Not Applicable,#N/A Field Not Applicable,130226.3594,4.666666508,#N/A N/A,42,-0.008355675,61.72595291,#N/A N/A,bf:1274691,Maso Capital Partners Limited (Blackwell - Series A),-3.3e-5,0.013157895,12/31/2024,-2553.744513,-178225.5042,-3.3e-5,3.3e-5
000660 KS,573000,573000,8117199,4.17E+14,4954447,#N/A N/A,#N/A N/A,48.08388385,102.0189455,56.71415,4.795454502,Semiconductors & Semiconductor,#N/A Field Not Applicable,#N/A Field Not Applicable,694733.5,4.795454502,#N/A N/A,44,-0.012117848,43.42582016,#N/A N/A,bf:1274691,Maso Capital Partners Limited (Blackwell - Series A),0.007579401,0.013157895,12/31/2024,694.5377213,292839.8806,0.007579401,0.007579401
051910 KS,391000,391000,279224,2.76E+13,2190346,#N/A N/A,#N/A N/A,15.40676666,-11.46372063,47.41833,4.483870983,Materials,#N/A Field Not Applicable,#N/A Field Not Applicable,439132,4.483870983,#N/A N/A,31,0,200.5419673,#N/A N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA
005380 KS,265500,265500,722666,5.44E+13,4586447,#N/A N/A,#N/A N/A,20.4011709,7.726114277,37.96413,4.888888836,Automobiles & Components,#N/A Field Not Applicable,#N/A Field Not Applicable,319555.5625,4.888888836,#N/A N/A,36,0,47.68003604,#N/A N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA
207940 KS,1221000,1221000,#N/A N/A,8.69E+13,392900,#N/A N/A,6027,50.37788178,23.08060418,32.51303,4.848484993,"Pharmaceuticals, Biotechnology",#N/A Field Not Applicable,#N/A Field Not Applicable,1501974.125,4.848484993,#N/A N/A,33,0,98.27012274,#N/A N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA
035420 KS,256500,256500,1408642,4.02E+13,1857936,#N/A N/A,#N/A N/A,#N/A N/A,11.03417451,40.09288,4.470588207,Media & Entertainment,#N/A Field Not Applicable,#N/A Field Not Applicable,322324,4.470588207,#N/A N/A,34,0,69.36867976,#N/A N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA
035720 KS,58200,58200,2946680,2.57E+13,1269613,#N/A N/A,#N/A N/A,93.55597367,4.164223494,47.61283,4.53125,Media & Entertainment,#N/A Field Not Applicable,#N/A Field Not Applicable,74913.04688,4.53125,#N/A N/A,32,0,152.3503294,#N/A N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA
SE US,146.4569,146.935,646125,86705404272,1206.05,0.808,80700,42.83677409,28.75407622,45.86731429,4.674418449,Consumer Discretionary Distrib,#N/A Field Not Applicable,#N/A Field Not Applicable,193.1902924,4.674418449,#N/A N/A,43,0,13.86559709,20118511,bf:2184853,"BWCP, LP (Blackwell Series - A)",0.010870779,0.013157895,12/31/2024,9475.559058,1469185.432,0.010870779,0.010870779
SE US,146.4569,146.935,646125,86705404272,1206.05,0.808,80700,42.83677409,28.75407622,45.86731429,4.674418449,Consumer Discretionary Distrib,#N/A Field Not Applicable,#N/A Field Not Applicable,193.1902924,4.674418449,#N/A N/A,43,0,13.86559709,20118511,bf:3356011,Numerai GP LLC (Blackwell - Series A),-1.5165e-4,0.013157895,12/31/2024,-828.63306,-18992.26974,-1.5165e-4,1.5165e-4
SE US,146.4569,146.935,646125,86705404272,1206.05,0.808,80700,42.83677409,28.75407622,45.86731429,4.674418449,Consumer Discretionary Distrib,#N/A Field Not Applicable,#N/A Field Not Applicable,193.1902924,4.674418449,#N/A N/A,43,0,13.86559709,20118511,bf:3356011,Numerai GP LLC (Blackwell - Series A),2.43036e-4,0.013157895,12/31/2024,1586.095182,30437.16655,2.43036e-4,2.43036e-4
