ticker,rd_intensity,rd_intensity_log,rd_intensity_score,patent_activity_log,patent_activity_score,analyst_sentiment_score,news_sentiment_score,growth_momentum_score,DAII_3.5_Score,innovation_quartile,fund_id,fund_name,fund_weight,dumac_allocation,as_of_date,shares_held,position_value,fund_weight_raw,abs_weight,Tot...Hldg.in.Port,Top.10.as.of.Dt
MSFT US,8.852316076294278e-9,8.852315952166088e-9,0.05632423506233214,6.115892125483034,29.005414061353747,98.63013268,73.47939163604082,30.930344800642374,47.62450417786303,Q3,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),5.98094e-4,0.013157895,12/31/2024,242.9198977,2144541.16,5.98094e-4,5.98094e-4,NA,#N/A Field Not Applicable
MSFT US,8.852316076294278e-9,8.852315952166088e-9,0.05632423506233214,6.115892125483034,29.005414061353747,98.63013268,73.47939163604082,30.930344800642374,47.62450417786303,Q3,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),0.005139171,0.013157895,12/31/2024,1402.539825,709685.1515,0.005139171,0.005139171,NA,#N/A Field Not Applicable
MSFT US,8.852316076294278e-9,8.852315952166088e-9,0.05632423506233214,6.115892125483034,29.005414061353747,98.63013268,73.47939163604082,30.930344800642374,47.62450417786303,Q3,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),-3.94038e-4,0.013157895,12/31/2024,-242.9198977,-1513359.899,-3.94038e-4,3.94038e-4,NA,#N/A Field Not Applicable
MSFT US,8.852316076294278e-9,8.852315952166088e-9,0.05632423506233214,6.115892125483034,29.005414061353747,98.63013268,73.47939163604082,30.930344800642374,47.62450417786303,Q3,bf:461753,The Children's Investment Fund,0.11,0.013157895,12/31/2024,47031.07031,24402913.84,0.11,0.11,NA,#N/A Field Not Applicable
MSFT US,8.852316076294278e-9,8.852315952166088e-9,0.05632423506233214,6.115892125483034,29.005414061353747,98.63013268,73.47939163604082,30.930344800642374,47.62450417786303,Q3,bf:2184853,"BWCP, LP (Blackwell Series - A)",0.059156724,0.013157895,12/31/2024,15800.45265,7995029.043,0.059156724,0.059156724,NA,#N/A Field Not Applicable
MSFT US,8.852316076294278e-9,8.852315952166088e-9,0.05632423506233214,6.115892125483034,29.005414061353747,98.63013268,73.47939163604082,30.930344800642374,47.62450417786303,Q3,bf:1257479,Gladstone Capital Management LLP (Blackwell - Series E),0.077235075,0.013157895,12/31/2024,33809.91641,17107817.7,0.077235075,0.077235075,NA,#N/A Field Not Applicable
MSFT US,8.852316076294278e-9,8.852315952166088e-9,0.05632423506233214,6.115892125483034,29.005414061353747,98.63013268,73.47939163604082,30.930344800642374,47.62450417786303,Q3,bf:2198791,Stony Point Capital LLC (Blackwell - Series E),0.052741388,0.013157895,12/31/2024,11283.63561,5709519.617,0.052741388,0.052741388,NA,#N/A Field Not Applicable
MSFT US,8.852316076294278e-9,8.852315952166088e-9,0.05632423506233214,6.115892125483034,29.005414061353747,98.63013268,73.47939163604082,30.930344800642374,47.62450417786303,Q3,bf:461839,"Bridgewater Pure Alpha Fund II, Ltd.",0.005517799,0.013157895,12/31/2024,0.002805354,724428.6794,0.005517799,0.005517799,NA,#N/A Field Not Applicable
MSFT US,8.852316076294278e-9,8.852315952166088e-9,0.05632423506233214,6.115892125483034,29.005414061353747,98.63013268,73.47939163604082,30.930344800642374,47.62450417786303,Q3,bf:3356011,Numerai GP LLC (Blackwell - Series A),0.002918905,0.013157895,12/31/2024,722.4415022,365555.4001,0.002918905,0.002918905,NA,#N/A Field Not Applicable
BABA US,1.4960994764397905e-7,1.496099363501952e-7,0.951916455330202,6.115892125483034,29.005414061353747,96.80000306000001,72.01770241355177,22.415593842396152,43.19042541684109,Q3,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),-0.032686206,0.013157895,12/31/2024,-27209.27261,-4513746.233,-0.032686206,0.032686206,NA,#N/A Field Not Applicable
BABA US,1.4960994764397905e-7,1.496099363501952e-7,0.951916455330202,6.115892125483034,29.005414061353747,96.80000306000001,72.01770241355177,22.415593842396152,43.19042541684109,Q3,bf:1639201,Discerene Group LP (Blackwell - Series A),0.168267867,0.013157895,12/31/2024,92061.59209,15272097.51,0.168267867,0.168267867,NA,#N/A Field Not Applicable
BABA US,1.4960994764397905e-7,1.496099363501952e-7,0.951916455330202,6.115892125483034,29.005414061353747,96.80000306000001,72.01770241355177,22.415593842396152,43.19042541684109,Q3,bf:1262141,"HongShan Capital Growth 2010 Fund, LP (fka Sequoia Capital China Growth 2010 Fund, LP)",7.61e-9,0.013157895,12/31/2024,0.011528526,0.011528526,7.61e-9,7.61e-9,NA,#N/A Field Not Applicable
BABA US,1.4960994764397905e-7,1.496099363501952e-7,0.951916455330202,6.115892125483034,29.005414061353747,96.80000306000001,72.01770241355177,22.415593842396152,43.19042541684109,Q3,bf:1262207,"Tiger Global Private Investment Partners VII, L.P.",1.08e-9,0.013157895,12/31/2024,0.01,0.01,1.08e-9,1.08e-9,NA,#N/A Field Not Applicable
JBL US,1.203980679012992e-9,1.2039806921961515e-9,0.007660514139372992,4.07753744390572,0,92.72727012,73.80936067525212,19.898517295853274,18.26778020478339,Q1,bf:1632133,Praesidium (Separate Account),0.163052847,0.013157895,12/31/2024,129112,28309097.12,0.163052847,0.163052847,NA,#N/A Field Not Applicable
JBL US,1.203980679012992e-9,1.2039806921961515e-9,0.007660514139372992,4.07753744390572,0,92.72727012,73.80936067525212,19.898517295853274,18.26778020478339,Q1,bf:461839,"Bridgewater Pure Alpha Fund II, Ltd.",8.85e-5,0.013157895,12/31/2024,4.89e-5,11617.15562,8.85e-5,8.85e-5,NA,#N/A Field Not Applicable
