"TRBC_Industry","n_companies","total_mcap","weighted_ai","pct_ai_leaders","avg_revenue_growth"
"Software (NEC)",2,2755232.81587982,0.849999270046809,100,0.250573089281847
"Internet & Mail Order Department Stores",1,2272690,0.825,100,0.10576517386362
"Commercial Aircraft Manufacturing",2,300478.390625,0.8,52.2041856483336,0.220417986451572
"Household Electronics (NEC)",1,48.9688301086426,0.75,100,0.0149282350204885
"Phones & Smart Phones",1,3714197,0.75,100,0.187644900660962
"Search Engines",1,3512093,0.75,100,0.0261043187230826
"IT Services & Consulting (NEC)",1,226432.09375,0.7,0,0.0227862481027842
"Aerospace & Defense (NEC)",2,572319.6875,0.652070070649981,0,-0.0203139681464244
"Advanced Medical Equipment & Technology (NEC)",1,182313.296875,0.65,0,0.202529976516962
"Investment Management & Fund Operators (NEC)",3,61274.7072825432,0.65,0,0.267725451760261
"Blockchain & Cryptocurrency (NEC)",1,47824.01171875,0.625,0,0.27622595122084
"Industrial Gases",2,292737.78125,0.625,0,0.136284334823719
"Application Software",3,172995.177734375,0.624163341472748,0,0.155150405891638
"Communications & Networking (NEC)",2,492865.015625,0.615579783967853,0,0.142863775732147
"Pharmaceuticals (NEC)",5,1812143.29187775,0.600312486376671,0.00425900806323564,0.119435025470253
"Cloud Computing Services",1,167949.09375,0.575,0,0.112297631241381
"Servers & Systems",1,14441.58984375,0.575,0,0.0905697357840836
"Financial Technology (Fintech) (NEC)",1,65308.37109375,0.55,0,0.272241954505444
"Oil & Gas Refining and Marketing (NEC)",1,680265.8125,0.55,0,-0.0609228233806789
"Specialty Mining & Metals (NEC)",1,8.86999988555908,0.55,0,-0.0358657076023519
"Construction Machinery",1,334560.1875,0.525,0,0.0805243400856853
"Medical Equipment, Supplies & Distribution (NEC)",1,182160.5,0.525,0,0.00217152973636985
"Semiconductor Equipment & Testing (NEC)",1,291525.59375,0.5,0,0.0203624606132507
"Security Software",2,222120.9296875,0.480071088633834,0,0.0265471663386939
"Professional Information Services (NEC)",2,160879.8984375,0.475,0,-0.0585002245647581
"Online Services (NEC)",1,389621.09375,0.475,0,0.019260913040489
"Semiconductors (NEC)",7,7196537.203125,0.468519151195245,0,0.0390320430534197
"Transaction & Payment Services",1,41291.80078125,0.45,0,-0.0887515235692263
"Electronic Components",1,29908.80078125,0.375,0,-0.0778391284868121
"Electric (Alternative) Vehicles",1,1448251,0.325,0,-0.0719669493846595
"Agricultural Machinery",1,156119.296875,NA,0,0.270018356386572
"Banks (NEC)",1,796757.3125,NA,0,0.0880369501188397
"Broadcasting (NEC)",1,169977.296875,NA,0,0.0813213656656444
"Business Support Services (NEC)",1,15264.5498046875,NA,0,0.184111141040921
"Consumer Credit Cards Services",1,206149,NA,0,0.150498137809336
"Courier, Postal, Air Freight & Land-based Logistics (NEC)",1,83582.3203125,NA,0,0.210771699249744
"Electric Utilities (NEC)",2,289657.453125,NA,0,0.165015507496076
"Financial & Commodity Market Operators & Service Providers (NEC)",3,82503.55078125,NA,0,0.207890669769075
"Food Processing (NEC)",1,58.4952507019043,NA,0,-0.0245001895353198
"Food Retail & Distribution (NEC)",2,981085.877830029,NA,0,0.252983351560199
"Fruit & Vegetable Processing",1,7.83215999603271,NA,0,-0.0501212584786117
"Home Improvement Products & Services Retailers (NEC)",1,331183.8125,NA,0,-0.0640888115391135
"Integrated Telecommunications Services (NEC)",1,212444.796875,NA,0,0.254814006667584
"Internet Security & Transactions Services",1,448367.59375,NA,0,0.0862649700604379
"Investment Banking & Brokerage Services (NEC)",1,248337.703125,NA,0,0.0329783962108195
"Investment Management",3,243086.83203125,NA,0,0.0364959562748106
"Managed Healthcare (NEC)",1,245571.703125,NA,0,-0.0699828883633018
"Medical Diagnostic & Testing Equipment",1,571.128295898438,NA,0,0.29173372136429
"Medical Equipment",1,190.764602661133,NA,0,0.147580618783832
"Mining Support Services & Equipment (NEC)",1,9.51480960845947,NA,0,0.187862916942686
"Non-Alcoholic Beverages (NEC)",1,323887.5,NA,0,0.0120498509146273
"Plastics",1,1365752,NA,0,0.126595369633287
"Rating Agencies",1,76194.5625,NA,0,0.0800549364648759
"Renewable Energy Equipment & Services (NEC)",1,374.987091064453,NA,0,0.207418863940984
"Securities & Commodity Exchanges",1,106639.296875,NA,0,0.0927925793454051
"Semiconductor Machinery Manufacturing",1,293111.90625,NA,0,0.155991507787257
"Shell Companies",1,56.0387115478516,NA,0,-0.0187465985305607
"Specialized REITs (NEC)",1,77962.0078125,NA,0,0.199518154468387
"Starch, Vegetable Fat & Oil Manufacturing",1,761.599975585938,NA,0,-0.0438083623535931
"Supermarkets & Convenience Stores",1,173.880004882812,NA,0,0.101475031953305
"Wireless Telecommunications Services (NEC)",1,201155.59375,NA,0,0.0561191018670797
