"ticker","ai_concentrated_weight","ai_score"
"AAPL",0.0281287392211753,0.825
"ADBE",0.00391805969156749,0.75
"AMD",0.000658308526706348,0.95
"AMZN",0.0757636055863943,0.9
"ANET",0.00040596130615893,0.75
"AZN",0.00570647219189831,0.75
"DOCU",5.34806377578142e-05,0.775
"GE",0.0488732157935681,0.775
"GOOGL",0.135919370650644,1
"LLY",0.00297286600530379,0.825
"MSCI",1.77887357288551e-05,0.725
"MSFT",0.090787427315594,0.925
"NOW",0.0118488100460742,0.825
"NU",0.00557864284571446,0.8
"NVDA",0.0648404392430462,0.75
"SAP",3.09462966494123e-06,0.95
"SNOW",0.000771891555201637,0.825
"TME",0.000125460916007363,0.75
"TSM",0.0276493410395827,0.8
"TW",0.011052718681268,0.85
"TXN",4.2044377095379e-05,0.825
