"ticker","rd_intensity","rd_intensity_log","rd_intensity_score","patent_activity_log","patent_activity_score","analyst_sentiment_score","news_sentiment_score","growth_momentum_score","DAII_3.5_Score","fund_id","fund_name","fund_weight","dumac_allocation","as_of_date","shares_held","position_value","fund_weight_raw","abs_weight","Tot...Hldg.in.Port","Top.10.as.of.Dt","innovation_quartile_old","innovation_quartile"
"MSFT US",0.00000000885231607629428,0.00000000885231595216609,0.0563242350623321,6.11589212548303,29.0054140613537,98.63013268,73.4793916360408,30.9303448006424,47.624504177863,"bf:1914537","Jones Road Capital Management LP (Blackwell-Series A)",0.000598094,0.013157895,"12/31/2024",242.9198977,2144541.16,0.000598094,0.000598094,NA,"#N/A Field Not Applicable","Q3","Q3"
"MSFT US",0.00000000885231607629428,0.00000000885231595216609,0.0563242350623321,6.11589212548303,29.0054140613537,98.63013268,73.4793916360408,30.9303448006424,47.624504177863,"bf:1914537","Jones Road Capital Management LP (Blackwell-Series A)",0.005139171,0.013157895,"12/31/2024",1402.539825,709685.1515,0.005139171,0.005139171,NA,"#N/A Field Not Applicable","Q3","Q3"
"MSFT US",0.00000000885231607629428,0.00000000885231595216609,0.0563242350623321,6.11589212548303,29.0054140613537,98.63013268,73.4793916360408,30.9303448006424,47.624504177863,"bf:1914537","Jones Road Capital Management LP (Blackwell-Series A)",-0.000394038,0.013157895,"12/31/2024",-242.9198977,-1513359.899,-0.000394038,0.000394038,NA,"#N/A Field Not Applicable","Q3","Q3"
"MSFT US",0.00000000885231607629428,0.00000000885231595216609,0.0563242350623321,6.11589212548303,29.0054140613537,98.63013268,73.4793916360408,30.9303448006424,47.624504177863,"bf:461753","The Children's Investment Fund",0.11,0.013157895,"12/31/2024",47031.07031,24402913.84,0.11,0.11,NA,"#N/A Field Not Applicable","Q3","Q3"
"MSFT US",0.00000000885231607629428,0.00000000885231595216609,0.0563242350623321,6.11589212548303,29.0054140613537,98.63013268,73.4793916360408,30.9303448006424,47.624504177863,"bf:2184853","BWCP, LP (Blackwell Series - A)",0.059156724,0.013157895,"12/31/2024",15800.45265,7995029.043,0.059156724,0.059156724,NA,"#N/A Field Not Applicable","Q3","Q3"
"MSFT US",0.00000000885231607629428,0.00000000885231595216609,0.0563242350623321,6.11589212548303,29.0054140613537,98.63013268,73.4793916360408,30.9303448006424,47.624504177863,"bf:1257479","Gladstone Capital Management LLP (Blackwell - Series E)",0.077235075,0.013157895,"12/31/2024",33809.91641,17107817.7,0.077235075,0.077235075,NA,"#N/A Field Not Applicable","Q3","Q3"
"MSFT US",0.00000000885231607629428,0.00000000885231595216609,0.0563242350623321,6.11589212548303,29.0054140613537,98.63013268,73.4793916360408,30.9303448006424,47.624504177863,"bf:2198791","Stony Point Capital LLC (Blackwell - Series E)",0.052741388,0.013157895,"12/31/2024",11283.63561,5709519.617,0.052741388,0.052741388,NA,"#N/A Field Not Applicable","Q3","Q3"
"MSFT US",0.00000000885231607629428,0.00000000885231595216609,0.0563242350623321,6.11589212548303,29.0054140613537,98.63013268,73.4793916360408,30.9303448006424,47.624504177863,"bf:461839","Bridgewater Pure Alpha Fund II, Ltd.",0.005517799,0.013157895,"12/31/2024",0.002805354,724428.6794,0.005517799,0.005517799,NA,"#N/A Field Not Applicable","Q3","Q3"
"MSFT US",0.00000000885231607629428,0.00000000885231595216609,0.0563242350623321,6.11589212548303,29.0054140613537,98.63013268,73.4793916360408,30.9303448006424,47.624504177863,"bf:3356011","Numerai GP LLC (Blackwell - Series A)",0.002918905,0.013157895,"12/31/2024",722.4415022,365555.4001,0.002918905,0.002918905,NA,"#N/A Field Not Applicable","Q3","Q3"
"BABA US",0.000000149609947643979,0.000000149609936350195,0.951916455330202,6.11589212548303,29.0054140613537,96.80000306,72.0177024135518,22.4155938423962,43.1904254168411,"bf:1914537","Jones Road Capital Management LP (Blackwell-Series A)",-0.032686206,0.013157895,"12/31/2024",-27209.27261,-4513746.233,-0.032686206,0.032686206,NA,"#N/A Field Not Applicable","Q3","Q3"
"BABA US",0.000000149609947643979,0.000000149609936350195,0.951916455330202,6.11589212548303,29.0054140613537,96.80000306,72.0177024135518,22.4155938423962,43.1904254168411,"bf:1639201","Discerene Group LP (Blackwell - Series A)",0.168267867,0.013157895,"12/31/2024",92061.59209,15272097.51,0.168267867,0.168267867,NA,"#N/A Field Not Applicable","Q3","Q3"
"BABA US",0.000000149609947643979,0.000000149609936350195,0.951916455330202,6.11589212548303,29.0054140613537,96.80000306,72.0177024135518,22.4155938423962,43.1904254168411,"bf:1262141","HongShan Capital Growth 2010 Fund, LP (fka Sequoia Capital China Growth 2010 Fund, LP)",0.00000000761,0.013157895,"12/31/2024",0.011528526,0.011528526,0.00000000761,0.00000000761,NA,"#N/A Field Not Applicable","Q3","Q3"
"BABA US",0.000000149609947643979,0.000000149609936350195,0.951916455330202,6.11589212548303,29.0054140613537,96.80000306,72.0177024135518,22.4155938423962,43.1904254168411,"bf:1262207","Tiger Global Private Investment Partners VII, L.P.",0.00000000108,0.013157895,"12/31/2024",0.01,0.01,0.00000000108,0.00000000108,NA,"#N/A Field Not Applicable","Q3","Q3"
"JBL US",0.00000000120398067901299,0.00000000120398069219615,0.00766051413937299,4.07753744390572,0,92.72727012,73.8093606752521,19.8985172958533,18.2677802047834,"bf:1632133","Praesidium (Separate Account)",0.163052847,0.013157895,"12/31/2024",129112,28309097.12,0.163052847,0.163052847,NA,"#N/A Field Not Applicable","Q1","Q1"
"JBL US",0.00000000120398067901299,0.00000000120398069219615,0.00766051413937299,4.07753744390572,0,92.72727012,73.8093606752521,19.8985172958533,18.2677802047834,"bf:461839","Bridgewater Pure Alpha Fund II, Ltd.",0.0000885,0.013157895,"12/31/2024",0.0000489,11617.15562,0.0000885,0.0000885,NA,"#N/A Field Not Applicable","Q1","Q1"
"JBL US",0.00000000120398067901299,0.00000000120398069219615,0.00766051413937299,4.07753744390572,0,92.72727012,73.8093606752521,19.8985172958533,18.2677802047834,"bf:3356011","Numerai GP LLC (Blackwell - Series A)",0.000486546,0.013157895,"12/31/2024",277.9055661,60933.57443,0.000486546,0.000486546,NA,"#N/A Field Not Applicable","Q1","Q1"
