"ticker","RepNo","CompanyName","ISIN","Exchange","Country","TRBC_Industry","rd_expense","revenue","fiscal_year_end","market_cap","pe_ratio_fy","beta_5y","volatility_30d","volatility_90d","volatility_260d","company_name","total_patents","ai_patents","patent_source","in_portfolio","total_net_exposure_usd","total_net_pct_ltp","n_funds","rd_intensity","fund_weight","patent_activity","revenue_growth","total_return","volatility","bloomberg_volatility","total_return_5yr","rd_quartile","patent_quartile","growth_quartile","volatility_quartile","innovation_score","innovation_quartile","innovation_label","holdings_n_funds","holdings_total_weight","holdings_total_value","total_fund_weight","total_position_value","industry","multiplier","ai_score","ai_quartile","ai_label","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","discovery_quality_weight","discovery_ai_weight","discovery_tier","innovation_rank","ai_rank","combined_rank","strategic_profile","ai_exposure","innovation_exposure","anomaly_score","is_anomaly","rd_score_norm","patent_score_norm","growth_score_norm","stability_score_norm","ai_score_aggressive","high_growth","high_volatility","has_rd","not_ai_leader","high_potential_flag","unicorn_tier","ai_label_aggressive"
"000660","A6A0F","SK Hynix Inc","KR7000660001","KRX","KOR","Semiconductors (NEC)",6406434,97146675,"2025-12-31",702724480,16.330509185791,1.5614800453186,1.06802441167549,0.776753440556842,0.639089781976734,"000660",0,0,"USPTO Only",FALSE,0,0,0,0.00911656585522679,0.00552486187845304,0,0.265922417398542,0.1,0.639089781976734,NA,NA,1,1,4,1,0.4,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.4,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",95,95,95,"Underperformer","Low","Low",0.782568545364789,TRUE,25,25,100,100,66.25,TRUE,TRUE,TRUE,TRUE,TRUE,"Emerging Unicorn Candidate","AI Leader (Aggressive)"
"005380","A4AFC","Hyundai Motor Co","KR7005380001","KRX","KOR","Auto & Truck Manufacturers (NEC)",2717809,186254472,"2025-12-31",115911800,13.5816602706909,1.45882999897003,1.1007860545252,0.912184625273626,0.565052351669765,"005380",0,0,"USPTO Only",FALSE,0,0,0,0.0234472159003656,0.00552486187845304,0,0.274830165319145,0.1,0.565052351669765,NA,NA,2,1,4,1,0.475,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.475,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",84.5,84.5,84.5,"Underperformer","Low","Low",0.47155065894493,TRUE,50,25,100,100,72.5,TRUE,TRUE,TRUE,TRUE,TRUE,"Emerging Unicorn Candidate","AI Leader (Aggressive)"
"005930","A69DA","Samsung Electronics Co Ltd","KR7005930003","KRX","KOR","Phones & Handheld Devices (NEC)",37740392,333605938,"2025-12-31",1232376960,28.7276306152344,1.24609005451202,0.921194498339498,0.687301023021118,0.469388784267663,"005930",0,0,"USPTO Only",FALSE,0,0,0,0.030624064896507,0.00552486187845304,0,0.0144558139145374,0.1,0.469388784267663,NA,NA,2,1,1,2,0.375,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.375,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",96,96,96,"Underperformer","Low","Low",0.989011492207691,TRUE,50,25,25,75,38.75,FALSE,FALSE,TRUE,TRUE,FALSE,"Monitor","AI Laggard"
"035420","A6DDF","Naver Corp","KR7035420009","KRX","KOR","Search Engines",1004641.2,12035007.21898,"2025-12-31",33488040,16.5485095977783,0.780700027942657,0.595488747059414,0.489464192762691,0.462309661532921,"035420",0,0,"USPTO Only",FALSE,0,0,0,NA,0.00552486187845304,0,0.23217905042693,0.1,0.462309661532921,NA,NA,NA,1,4,2,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",98,98,98,"Underperformer","Low","Low",0.280724978084717,FALSE,NA,25,100,75,NA,TRUE,FALSE,FALSE,TRUE,FALSE,"Monitor","AI Laggard"
"035720","A5D59","Kakao Corp","KR7035720002","KRX","KOR","Online Services (NEC)",640240.2,8099147.81509,"2025-12-31",21341340,521.455627441406,1.00606000423431,0.858264076822861,0.592115179714037,0.537989928452484,"035720",0,0,"USPTO Only",FALSE,0,0,0,NA,0.00552486187845304,0,0.156698207557201,0.1,0.537989928452484,NA,NA,NA,1,3,2,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",99,99,99,"Underperformer","Low","Low",0.133849107073754,FALSE,NA,25,75,75,NA,FALSE,TRUE,FALSE,TRUE,FALSE,"Monitor","AI Laggard"
"051910","A6A0D","LG Chem Ltd","KR7051910008","KRX","KOR","Plastics",669243,45932167,"2025-12-31",23370060,NA,1.06860995292664,1.07818164901527,0.752091690968974,0.613284425564946,"051910",0,0,"USPTO Only",FALSE,0,0,0,0.0286367685833926,0.00552486187845304,0,0.107638379652053,0.1,0.613284425564946,NA,NA,2,1,3,1,0.425,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.425,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",93,93,93,"Underperformer","Low","Low",0.162249932211192,FALSE,50,25,75,100,62.5,FALSE,TRUE,TRUE,TRUE,FALSE,"Monitor","AI Adopter"
"207940","F7B0D","Samsung Biologics Co Ltd","KR7207940008","KRX","KOR","Biopharmaceuticals",37181.22014,4556971.69518,"2025-12-31",71612096,41.7651100158691,0.43520000576973,0.588080918603888,0.419042154072949,0.356686725054676,"207940",0,0,"USPTO Only",FALSE,0,0,0,0.000519203070665604,0.00552486187845304,0,0.194635325856507,0.1,0.356686725054676,NA,NA,1,1,4,3,0.5,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.5,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",80,80,80,"Underperformer","Low","Low",0.332719057552392,TRUE,25,25,100,50,58.75,TRUE,FALSE,TRUE,TRUE,FALSE,"Growth Candidate","AI Follower"
"6501","A4C4C","Hitachi Ltd","JP3788600009","TYO","JPN","Consumer Goods Conglomerates",661119.3,9783370,"2025-03-31",22037310,35.9706916809082,1.12160003185272,0.377618863497527,0.440459590991367,0.487241070989831,"6501",2,0,"USPTO Only",FALSE,0,0,0,NA,0.00552486187845304,2,-0.0461333611048758,0.1,0.487241070989831,NA,NA,NA,1,1,2,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",100,100,100,"Underperformer","Low","Low",0.231916646701574,FALSE,NA,25,25,75,NA,FALSE,FALSE,FALSE,TRUE,FALSE,"Monitor","AI Laggard"
"7974","A4406","Nintendo Co Ltd","JP3756600007","TYO","JPN","Games, Toys & Children's Vehicles",143782,1164922,"2025-03-31",11667430,37.5156097412109,0.288349986076355,0.486570877251793,0.451032708616739,0.419907829908806,"7974",0,0,"USPTO Only",FALSE,0,0,0,0.0123233651283959,0.00552486187845304,0,0.162796916160733,0.1,0.419907829908806,NA,NA,2,1,3,2,0.475,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.475,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",84.5,84.5,84.5,"Underperformer","Low","Low",0.104384597290814,FALSE,50,25,75,75,58.75,FALSE,FALSE,TRUE,TRUE,FALSE,"Monitor","AI Follower"
"8TRA","00A54","Traton SE","DE000TRAT0N7","ETR","DEU","Heavy Buses & Coaches",456.9,44052,"2025-12-31",15230,9.8448600769043,1.59326004981995,0.371519444570897,0.344555929104471,0.363982407739148,"8TRA",0,0,"USPTO Only",FALSE,0,0,0,NA,0.00552486187845304,0,0.18202591361478,0.1,0.363982407739148,NA,NA,NA,1,3,3,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",101,101,101,"Underperformer","Low","Low",0.0258661617778515,FALSE,NA,25,75,50,NA,TRUE,FALSE,FALSE,TRUE,FALSE,"Monitor","AI Laggard"
