"ticker","quality_innovators_weight","innovation_score","volatility"
"AMZN",0.0707390479327638,0.8,0.351456770456511
"DE",0.00558048372095415,0.75,0.268801983148583
"GE",0.0541490345893172,0.825,0.296856100750808
"GOOGL",0.125272715753877,0.9,0.30383375687982
"MRK",0.00133601582785522,0.8,0.217611792872041
"MSFT",0.0887431115755855,0.875,0.260832245368288
"NU",0.00613123786084364,0.75,0.417299002518701
"OR",0.00704576502293261,0.75,0.412416002564433
"PCOR",0.011064733965859,0.75,0.359971295645363
"PG",0.000611840728577308,0.725,0.261207752964913
"RTX",0.0376945971904516,0.8,0.296349331983209
"SAP",3.42830838086645e-06,0.9,0.403862620568389
"SE",0.0291932626941816,0.825,0.402052263719611
"SHEL",0.000104463644216136,0.725,0.210671669618549
"TMO",0.0113784907510959,0.8,0.326632084137488
"TSM",0.0299997273692701,0.8,0.388765845626752
"TW",0.0115151989178568,0.85,0.300086653538193
"TXN",5.34339877585198e-05,0.875,0.412752265485296
