"ticker","ai_score","innovation_score","anomaly_score","strategic_profile","discovery_tier"
"ORCL",0.65,0.65,1,"Balanced Performer","Tier 3: Watch List"
"005930",0.375,0.375,0.989011492207691,"Underperformer","Tier 4: Monitor"
"T",NA,NA,0.96484170650352,"Underperformer","Tier 4: Monitor"
"000660",0.4,0.4,0.782568545364789,"Underperformer","Tier 4: Monitor"
"OR",NA,NA,0.73761692336452,"Underperformer","Tier 4: Monitor"
"PFE",0.65,0.65,0.731480205991088,"Balanced Performer","Tier 3: Watch List"
"V",NA,NA,0.647683616937631,"Underperformer","Tier 4: Monitor"
"ANT",NA,NA,0.626513241101567,"Underperformer","Tier 4: Monitor"
"MRK",0.7,0.7,0.523927519870415,"AI Pioneer","Tier 2: Strong Candidates"
"CAT",0.525,0.525,0.492335445860786,"Underperformer","Tier 4: Monitor"
"005380",0.475,0.475,0.47155065894493,"Underperformer","Tier 4: Monitor"
"LI",0.9,0.9,0.433109246418948,"AI Pioneer","Tier 1: Top 10 Opportunities"
"SE",0.65,0.65,0.419212796449274,"Balanced Performer","Tier 3: Watch List"
"MA",NA,NA,0.364210938991705,"Underperformer","Tier 4: Monitor"
"CME",NA,NA,0.354984990527229,"Underperformer","Tier 4: Monitor"
"NOW",0.675,0.675,0.354874359698149,"Balanced Performer","Tier 3: Watch List"
"207940",0.5,0.5,0.332719057552392,"Underperformer","Tier 4: Monitor"
"MS",NA,NA,0.310645851862476,"Underperformer","Tier 4: Monitor"
"TAK",0.85,0.85,0.28602777869956,"AI Pioneer","Tier 1: Top 10 Opportunities"
