"ticker","ai_score_aggressive","ai_label_aggressive","high_potential_flag","unicorn_tier"
"000660",66.25,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"005380",72.5,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"005930",38.75,"AI Laggard",FALSE,"Monitor"
"035420",NA,"AI Laggard",FALSE,"Monitor"
"035720",NA,"AI Laggard",FALSE,"Monitor"
"051910",62.5,"AI Adopter",FALSE,"Monitor"
"207940",58.75,"AI Follower",FALSE,"Growth Candidate"
"6501",NA,"AI Laggard",FALSE,"Monitor"
"7974",58.75,"AI Follower",FALSE,"Monitor"
"8TRA",NA,"AI Laggard",FALSE,"Monitor"
"9984",NA,"AI Laggard",FALSE,"Monitor"
"AAPL",73.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"ABBV",66.25,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"ABT",52.5,"AI Follower",FALSE,"Monitor"
"ADBE",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"AFRM",NA,"AI Laggard",FALSE,"Monitor"
"AMAT",NA,"AI Laggard",FALSE,"Monitor"
"AMD",57.5,"AI Follower",FALSE,"Monitor"
"AMT",NA,"AI Laggard",FALSE,"Monitor"
"AMZN",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"ANET",62.5,"AI Adopter",TRUE,"Emerging Unicorn Candidate"
"ANT",NA,"AI Laggard",FALSE,"Monitor"
"APD",60,"AI Follower",FALSE,"Growth Candidate"
"APH",NA,"AI Laggard",FALSE,"Monitor"
"APO",NA,"AI Laggard",FALSE,"Monitor"
"ARES",NA,"AI Laggard",FALSE,"Monitor"
"ASAN",80,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"ASML",38.75,"AI Laggard",FALSE,"Monitor"
"AVGO",52.5,"AI Follower",FALSE,"Monitor"
"AXP",NA,"AI Laggard",FALSE,"Monitor"
"AZN",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"BA",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"BABA",NA,"AI Laggard",FALSE,"Monitor"
"BAC",NA,"AI Laggard",FALSE,"Monitor"
"BAM",NA,"AI Laggard",FALSE,"Monitor"
"BIDU",51.25,"AI Laggard",FALSE,"Monitor"
"BILI",61.25,"AI Adopter",FALSE,"Monitor"
"BILL",NA,"AI Laggard",FALSE,"Monitor"
"BIO",66.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"BP",55,"AI Follower",FALSE,"Monitor"
"BX",NA,"AI Laggard",FALSE,"Monitor"
"CAJPY",43.75,"AI Laggard",FALSE,"Monitor"
"CAT",61.25,"AI Adopter",FALSE,"Monitor"
"CBOE",NA,"AI Laggard",FALSE,"Monitor"
"CME",NA,"AI Laggard",FALSE,"Monitor"
"COIN",77.5,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"CRM",73.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"CRWD",63.75,"AI Adopter",FALSE,"Monitor"
"CSCO",56.25,"AI Follower",FALSE,"Monitor"
"CVX",75,"AI Leader (Aggressive)",FALSE,"Monitor"
"DDOG",78.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"DE",NA,"AI Laggard",FALSE,"Monitor"
"DIS",NA,"AI Laggard",FALSE,"Monitor"
"DOCU",65,"AI Adopter",FALSE,"Monitor"
"DUK",NA,"AI Laggard",FALSE,"Monitor"
"FSLY",58.75,"AI Follower",FALSE,"Monitor"
"GE",50,"AI Laggard",FALSE,"Monitor"
"GOOGL",56.25,"AI Follower",FALSE,"Monitor"
"GRAB",43.75,"AI Laggard",FALSE,"Monitor"
"GS",NA,"AI Laggard",FALSE,"Monitor"
"HD",NA,"AI Laggard",FALSE,"Monitor"
"HMC",NA,"AI Laggard",FALSE,"Monitor"
"HOOD",57.5,"AI Follower",FALSE,"Monitor"
"HSBC",NA,"AI Laggard",FALSE,"Monitor"
"HTHIY",NA,"AI Laggard",FALSE,"Monitor"
"HUBS",83.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"IBM",81.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"IBN",NA,"AI Laggard",FALSE,"Monitor"
"ICE",NA,"AI Laggard",FALSE,"Monitor"
"INF",NA,"AI Laggard",FALSE,"Monitor"
"INFY",NA,"AI Laggard",FALSE,"Monitor"
"INTC",83.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"IQ",96.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"J",NA,"AI Laggard",FALSE,"Monitor"
"JBL",57.5,"AI Follower",FALSE,"Monitor"
"JD",77.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"JNJ",61.25,"AI Adopter",FALSE,"Growth Candidate"
"JPM",NA,"AI Laggard",FALSE,"Monitor"
"KKR",NA,"AI Laggard",FALSE,"Monitor"
"KO",NA,"AI Laggard",FALSE,"Monitor"
"KSPI",NA,"AI Laggard",FALSE,"Monitor"
"LI",96.25,"AI Leader (Aggressive)",FALSE,"Monitor"
