"TRBC_Industry","n_companies","total_mcap","weighted_ai","pct_ai_leaders","avg_revenue_growth"
"Internet & Mail Order Department Stores",1,2157182,0.95,100,0.262640563119203
"Search Engines",1,3315537,0.925,100,0.267161613609642
"Business Support Services (NEC)",1,14657.349609375,0.875,100,0.27622595122084
"IT Services & Consulting (NEC)",1,222548.703125,0.875,100,0.254047074820846
"Agricultural Machinery",1,150044.59375,0.825,100,0.02682134071365
"Internet Security & Transactions Services",1,440555.3125,0.825,100,0.202822241000831
"Software (NEC)",2,2665529.34572029,0.825,100,0.0450429635557657
"Phones & Smart Phones",1,3626128,0.8,100,0.27386889886111
"Medical Diagnostic & Testing Equipment",1,529.33837890625,0.775,100,0.240772393997759
"Non-Alcoholic Beverages (NEC)",1,328277.8125,0.775,100,-0.0558659599162638
"Aerospace & Defense (NEC)",2,537398.78125,0.73984466900482,53.1262253397602,0.0866380856616416
"Electric Utilities (NEC)",2,294274.1015625,0.726120009684848,34.8266795797976,0.052092307201838
"Courier, Postal, Air Freight & Land-based Logistics (NEC)",1,80676.453125,0.725,100,0.185852776840329
"Supermarkets & Convenience Stores",1,182.520004272461,0.725,100,0.159781580604613
"Investment Banking & Brokerage Services (NEC)",1,238237.09375,0.725,0,-0.0466681526973844
"Household Electronics (NEC)",1,50.3755416870117,0.7,0,-0.0759806655347347
"Integrated Telecommunications Services (NEC)",1,212149.5,0.7,0,0.268904501665384
"Specialty Mining & Metals (NEC)",1,9.36277961730957,0.7,0,0.223440718092024
"Application Software",3,170358.521484375,0.691193147830937,75.9451307899449,0.183831245638125
"Home Improvement Products & Services Retailers (NEC)",1,322209.6875,0.675,0,0.01509990086779
"Wireless Telecommunications Services (NEC)",1,200946.09375,0.675,0,0.0944968669675291
"Transaction & Payment Services",1,40131.76953125,0.675,0,0.242604286503047
"Pharmaceuticals (NEC)",5,1794188.0544281,0.65494937593452,0.00398533359398901,0.0626372550476093
"Commercial Aircraft Manufacturing",2,286637.296875,0.654684443869531,51.8737775478124,0.0419098103573831
"Food Processing (NEC)",1,59.1635513305664,0.65,0,0.251371618919075
"Oil & Gas Refining and Marketing (NEC)",1,714474.875,0.65,0,0.105037513934076
"Online Services (NEC)",1,392534.40625,0.65,0,0.238294462487102
"Plastics",1,1360874,0.65,0,-0.0850275868549943
"Starch, Vegetable Fat & Oil Manufacturing",1,795.599975585938,0.65,0,0.0333708845078945
"Advanced Medical Equipment & Technology (NEC)",1,178331,0.625,0,0.0295288095250726
"Banks (NEC)",1,765336.875,0.625,0,-0.0914199085906148
"Cloud Computing Services",1,165503.09375,0.625,0,0.211523799411953
"Communications & Networking (NEC)",2,456051.90625,0.625,0,-0.0108088374133208
"Construction Machinery",1,310546.6875,0.625,0,0.27495433986187
"Fruit & Vegetable Processing",1,7.93800020217896,0.625,0,-0.00920956265181302
"Semiconductor Machinery Manufacturing",1,256431.203125,0.625,0,0.055243313126266
"Food Retail & Distribution (NEC)",2,984593.708800077,0.624999692060787,0,0.249596823756775
"Investment Management & Fund Operators (NEC)",3,59651.0756764412,0.624998254214134,0,0.115178753299951
"Medical Equipment, Supplies & Distribution (NEC)",1,177034.296875,0.6,0,0.0849171290174127
"Financial Technology (Fintech) (NEC)",1,58664.08984375,0.575,0,0.112749774567783
"Managed Healthcare (NEC)",1,237620.5,0.575,0,0.107630349416286
"Mining Support Services & Equipment (NEC)",1,8.32544994354248,0.575,0,0.158252751361579
"Financial & Commodity Market Operators & Service Providers (NEC)",3,80725.2612304688,0.567624154972981,0,0.150088136087481
"Professional Information Services (NEC)",2,163047.01953125,0.567604333340672,0,0.288486870898402
"Security Software",2,215621.7734375,0.566473039071201,0,0.0482951247230566
"Broadcasting (NEC)",1,167089.796875,0.55,0,-0.0255591372959316
"Servers & Systems",1,13192.58984375,0.55,0,-0.0930832698941231
"Blockchain & Cryptocurrency (NEC)",1,42460.640625,0.525,0,0.0174495365470648
"Rating Agencies",1,76906.5703125,0.525,0,0.0187385627068579
"Semiconductor Equipment & Testing (NEC)",1,249666.796875,0.525,0,-0.0640888115391135
"Shell Companies",1,56.1597290039062,0.525,0,0.0255926739424467
"Investment Management",3,242280.609375,0.515027950705919,0,0.171095398337475
"Semiconductors (NEC)",7,6631895.109375,0.50978369871685,5.6777737553133,0.00236987115151896
"Industrial Gases",2,296271.79296875,0.485955749312692,0,-0.0462223522603353
"Renewable Energy Equipment & Services (NEC)",1,352.487915039062,0.475,0,-0.0358280340209603
"Specialized REITs (NEC)",1,79402.2109375,0.475,0,-0.0970663412474096
"Consumer Credit Cards Services",1,204013.703125,0.475,0,0.231263394095004
"Electronic Components",1,26132.720703125,0.375,0,-0.0246262681670487
"Electric (Alternative) Vehicles",1,1357743,0.325,0,-0.0104199949651957
"Medical Equipment",1,175.361297607422,0.325,0,-0.0457144811749458
"Securities & Commodity Exchanges",1,107963.5,0.325,0,-0.0319350074976683
