Ticker,Tot.Ret.Idx.Gross,Last.Price,Volume,Mkt.Cap,R.D.Exp,Patents...Trademarks...Copy.Rgt,Number.of.Employees,GM,Rev...1.Yr.Gr,Volatil.360D,BEst.Analyst.Rtg,GICS.Ind.Grp.Name,Tot...Hldg.in.Port,Top.10.as.of.Dt,BEst.Target.Px,Rec.Consensus,Earnings.Conference.Call.Date,Tot.Analyst.Rec,News.Sent,Percent.Change.in.Institutional.Holdings,Shrt.Int,fund_id,fund_name,fund_weight,dumac_allocation,as_of_date,shares_held,position_value,fund_weight_raw,abs_weight,R.D.Exp_num,Mkt.Cap_num,Rev...1.Yr.Gr_num,BEst.Analyst.Rtg_num,Patents...Trademarks...Copy.Rgt_num,News.Sent_num,DAII_3.5_Score,innovation_quartile
MSFT US,493.2,493.823,4450772,3.67E+12,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),0.000598094,0.013157895,12/31/2024,242.9198977,2144541.16,0.000598094,0.000598094,32488,3.67E+12,14.93215623,4.931506634,5255,-0.001345312,28.75775201,Q2
MSFT US,493.2,493.823,4450772,3.67E+12,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),0.005139171,0.013157895,12/31/2024,1402.539825,709685.1515,0.005139171,0.005139171,32488,3.67E+12,14.93215623,4.931506634,5255,-0.001345312,78.83051354,Q4
MSFT US,493.2,493.823,4450772,3.67E+12,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),-0.000394038,0.013157895,12/31/2024,-242.9198977,-1513359.899,-0.000394038,0.000394038,32488,3.67E+12,14.93215623,4.931506634,5255,-0.001345312,40.89769218,Q2
MSFT US,493.2,493.823,4450772,3.67E+12,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:461753,The Children's Investment Fund,0.11,0.013157895,12/31/2024,47031.07031,24402913.84,0.11,0.11,32488,3.67E+12,14.93215623,4.931506634,5255,-0.001345312,88.3017404,Q4
MSFT US,493.2,493.823,4450772,3.67E+12,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:2184853,"BWCP, LP (Blackwell Series - A)",0.059156724,0.013157895,12/31/2024,15800.45265,7995029.043,0.059156724,0.059156724,32488,3.67E+12,14.93215623,4.931506634,5255,-0.001345312,94.04672843,Q4
MSFT US,493.2,493.823,4450772,3.67E+12,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:1257479,Gladstone Capital Management LLP (Blackwell - Series E),0.077235075,0.013157895,12/31/2024,33809.91641,17107817.7,0.077235075,0.077235075,32488,3.67E+12,14.93215623,4.931506634,5255,-0.001345312,4.555649939,Q1
MSFT US,493.2,493.823,4450772,3.67E+12,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:2198791,Stony Point Capital LLC (Blackwell - Series E),0.052741388,0.013157895,12/31/2024,11283.63561,5709519.617,0.052741388,0.052741388,32488,3.67E+12,14.93215623,4.931506634,5255,-0.001345312,52.8105488,Q3
MSFT US,493.2,493.823,4450772,3.67E+12,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:461839,"Bridgewater Pure Alpha Fund II, Ltd.",0.005517799,0.013157895,12/31/2024,0.002805354,724428.6794,0.005517799,0.005517799,32488,3.67E+12,14.93215623,4.931506634,5255,-0.001345312,89.24190444,Q4
MSFT US,493.2,493.823,4450772,3.67E+12,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:3356011,Numerai GP LLC (Blackwell - Series A),0.002918905,0.013157895,12/31/2024,722.4415022,365555.4001,0.002918905,0.002918905,32488,3.67E+12,14.93215623,4.931506634,5255,-0.001345312,55.14350145,Q3
BABA US,160.13,160.435,2451277,3.82E+11,57151,NA,124320,39.95214519,5.862821515,46.62626311,4.840000153,Consumer Discretionary Distrib,NA,#N/A Field Not Applicable,201.7665863,4.840000153,11/25/2025,50,-0.007304744,-0.892945676,41333243,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),-0.032686206,0.013157895,12/31/2024,-27209.27261,-4513746.233,-0.032686206,0.032686206,57151,3.82E+11,5.862821515,4.840000153,5255,-0.007304744,45.66147353,Q2
BABA US,160.13,160.435,2451277,3.82E+11,57151,NA,124320,39.95214519,5.862821515,46.62626311,4.840000153,Consumer Discretionary Distrib,NA,#N/A Field Not Applicable,201.7665863,4.840000153,11/25/2025,50,-0.007304744,-0.892945676,41333243,bf:1639201,Discerene Group LP (Blackwell - Series A),0.168267867,0.013157895,12/31/2024,92061.59209,15272097.51,0.168267867,0.168267867,57151,3.82E+11,5.862821515,4.840000153,5255,-0.007304744,95.68333453,Q4
BABA US,160.13,160.435,2451277,3.82E+11,57151,NA,124320,39.95214519,5.862821515,46.62626311,4.840000153,Consumer Discretionary Distrib,NA,#N/A Field Not Applicable,201.7665863,4.840000153,11/25/2025,50,-0.007304744,-0.892945676,41333243,bf:1262141,"HongShan Capital Growth 2010 Fund, LP (fka Sequoia Capital China Growth 2010 Fund, LP)",7.61E-09,0.013157895,12/31/2024,0.011528526,0.011528526,7.61E-09,7.61E-09,57151,3.82E+11,5.862821515,4.840000153,5255,-0.007304744,45.33341562,Q2
BABA US,160.13,160.435,2451277,3.82E+11,57151,NA,124320,39.95214519,5.862821515,46.62626311,4.840000153,Consumer Discretionary Distrib,NA,#N/A Field Not Applicable,201.7665863,4.840000153,11/25/2025,50,-0.007304744,-0.892945676,41333243,bf:1262207,"Tiger Global Private Investment Partners VII, L.P.",1.08E-09,0.013157895,12/31/2024,0.01,0.01,1.08E-09,1.08E-09,57151,3.82E+11,5.862821515,4.840000153,5255,-0.007304744,67.75706355,Q3
JBL US,202.2107,203.33,89208,21595030928,26,58,135000,8.878598752,3.181802444,40.42658147,4.636363506,Technology Hardware & Equipmen,NA,#N/A Field Not Applicable,247.1000061,4.636363506,#N/A N/A,11,0,7.292145287,3871198,bf:1632133,Praesidium (Separate Account),0.163052847,0.013157895,12/31/2024,129112,28309097.12,0.163052847,0.163052847,26,21595030928,3.181802444,4.636363506,58,0,57.2633402,Q3
JBL US,202.2107,203.33,89208,21595030928,26,58,135000,8.878598752,3.181802444,40.42658147,4.636363506,Technology Hardware & Equipmen,NA,#N/A Field Not Applicable,247.1000061,4.636363506,#N/A N/A,11,0,7.292145287,3871198,bf:461839,"Bridgewater Pure Alpha Fund II, Ltd.",0.0000885,0.013157895,12/31/2024,0.0000489,11617.15562,0.0000885,0.0000885,26,21595030928,3.181802444,4.636363506,58,0,10.29246827,Q1
JBL US,202.2107,203.33,89208,21595030928,26,58,135000,8.878598752,3.181802444,40.42658147,4.636363506,Technology Hardware & Equipmen,NA,#N/A Field Not Applicable,247.1000061,4.636363506,#N/A N/A,11,0,7.292145287,3871198,bf:3356011,Numerai GP LLC (Blackwell - Series A),0.000486546,0.013157895,12/31/2024,277.9055661,60933.57443,0.000486546,0.000486546,26,21595030928,3.181802444,4.636363506,58,0,89.98249704,Q4
