"TRBC_Industry","n_companies","total_mcap","weighted_ai","pct_ai_leaders","avg_revenue_growth"
"Search Engines",1,3686830,1,100,0.150900810815444
"Software (NEC)",2,2764512.77288055,0.924999103897048,100,0.149322095753301
"Internet & Mail Order Department Stores",1,2294804,0.9,100,0.123777546832947
"Phones & Smart Phones",1,3721669,0.825,100,0.0642551178283274
"Pharmaceuticals (NEC)",5,1821013.05438995,0.772226375584659,68.3579533568001,0.251218090317626
"Communications & Networking (NEC)",2,486601.109375,0.75,100,0.133383337491279
"IT Services & Consulting (NEC)",1,229884.09375,0.75,100,0.0762035281181776
"Non-Alcoholic Beverages (NEC)",1,326728.3125,0.75,100,0.0186991351649986
"Internet Security & Transactions Services",1,444372.3125,0.75,100,0.164163737707246
"Semiconductor Equipment & Testing (NEC)",1,280161.8125,0.75,100,0.236840897645992
"Starch, Vegetable Fat & Oil Manufacturing",1,782,0.75,100,1
"Electric Utilities (NEC)",2,297901.796875,0.748353030557732,65.5686870384877,0.0917579607972049
"Semiconductors (NEC)",7,7275941.515625,0.746511178588728,76.4481380252298,0.492540627214466
"Aerospace & Defense (NEC)",2,567933,0.739820429412448,53.0939058832644,-0.995212474488904
"Security Software",2,245101.6953125,0.73594822104613,43.7928841845207,0.178681543927458
"Online Services (NEC)",1,417234.09375,0.725,0,0.158510689196775
"Advanced Medical Equipment & Technology (NEC)",1,181841.5,0.7,0,0.039110053872525
"Agricultural Machinery",1,155581.796875,0.7,0,-0.996667608100712
"Financial Technology (Fintech) (NEC)",1,62706.48046875,0.7,0,0.515757370382921
"Household Electronics (NEC)",1,49.8507995605469,0.7,0,-0.675408776976204
"Investment Banking & Brokerage Services (NEC)",1,254919,0.7,0,-0.0138427944155834
"Application Software",3,171072.4921875,0.695923583701884,56.738866961507,0.151530488324759
"Home Improvement Products & Services Retailers (NEC)",1,317498.59375,0.675,0,0.0324046792131098
"Professional Information Services (NEC)",2,170384.33203125,0.667614837288007,23.4864497173428,0.0836332094448427
"Blockchain & Cryptocurrency (NEC)",1,46260.69140625,0.65,0,0.0940424081067295
"Fruit & Vegetable Processing",1,7.85862016677856,0.65,0,0.115365614950832
"Business Support Services (NEC)",1,14938.0498046875,0.65,0,-0.94290340981213
"Plastics",1,1336486,0.65,0,-0.99784991336972
"Commercial Aircraft Manufacturing",2,309688.390625,0.631576353438338,0,-0.36299361096493
"Construction Machinery",1,337072.8125,0.625,0,-0.78753487140856
"Rating Agencies",1,77965.703125,0.625,0,1
"Semiconductor Machinery Manufacturing",1,281183.90625,0.625,0,0.04386223138063
"Servers & Systems",1,13612.9296875,0.625,0,0.465853230424923
"Supermarkets & Convenience Stores",1,173.880004882812,0.625,0,-0.992819536448199
"Banks (NEC)",1,797692.125,0.6,0,0.0604811925107801
"Integrated Telecommunications Services (NEC)",1,203231.59375,0.6,0,0.0252470546339437
"Medical Diagnostic & Testing Equipment",1,492.19189453125,0.6,0,0.0604811925107801
"Specialty Mining & Metals (NEC)",1,8.86999988555908,0.6,0,-0.0164709950178383
"Wireless Telecommunications Services (NEC)",1,195779.40625,0.6,0,0.0270729793356003
"Investment Management & Fund Operators (NEC)",3,63564.375289917,0.596234003912768,0,-0.00756229620475107
"Financial & Commodity Market Operators & Service Providers (NEC)",3,86327.5234375,0.589316434603209,0,0.123286801214093
"Cloud Computing Services",1,168872.09375,0.575,0,0.0957910014513788
"Mining Support Services & Equipment (NEC)",1,8.32544994354248,0.575,0,0.0645959839444447
"Food Processing (NEC)",1,58.8007583618164,0.55,0,0.0372299382716049
"Oil & Gas Refining and Marketing (NEC)",1,682974.1875,0.55,0,-0.0452236865764473
"Transaction & Payment Services",1,41310.21875,0.55,0,0.0432430732459037
"Broadcasting (NEC)",1,169676.203125,0.55,0,-0.99627850675139
"Medical Equipment, Supplies & Distribution (NEC)",1,176947.40625,0.55,0,-0.924029679599557
"Food Retail & Distribution (NEC)",2,976541.69107008,0.524999682644873,0,0.0472499927673496
"Courier, Postal, Air Freight & Land-based Logistics (NEC)",1,82902.59375,0.5,0,-0.0264521796420336
"Industrial Gases",2,294292.484375,0.486060831329631,0,-0.776054234808529
"Electric (Alternative) Vehicles",1,1300781,0.475,0,-0.0293069915037363
"Renewable Energy Equipment & Services (NEC)",1,390.668395996094,0.475,0,-0.307368781482568
"Securities & Commodity Exchanges",1,112680,0.475,0,0.170610821611879
"Investment Management",3,248490.53125,0.461907222445725,0,0.0739985191871444
"Managed Healthcare (NEC)",1,279319.09375,0.45,0,0
"Specialized REITs (NEC)",1,81136.046875,0.45,0,0.0510901335018563
"Consumer Credit Cards Services",1,210556.09375,0.425,0,0.0838869968175981
"Electronic Components",1,28811.669921875,0.425,0,0.0318180244434442
"Shell Companies",1,49.223201751709,0.4,0,-0.992325
"Medical Equipment",1,186.617599487305,0.325,0,-0.0464392443153029
