"ticker","RepNo","CompanyName","ISIN","Exchange","Country","TRBC_Industry","rd_expense","revenue","fiscal_year_end","market_cap","pe_ratio_fy","beta_5y","volatility_30d","volatility_90d","volatility_260d","company_name","total_patents","ai_patents","patent_source","rd_intensity","patent_activity","revenue_growth","total_return","volatility","bloomberg_volatility","total_return_5yr","industry","rd_imputed","growth_imputed","volatility_imputed","innovation_imputed","rd_quartile","patent_quartile","growth_quartile","volatility_quartile","innovation_score","innovation_quartile","innovation_label","matched_by","in_portfolio","n_funds","fund_weight","total_net_exposure_usd","total_net_pct_ltp","multiplier","ai_score","ai_quartile","ai_label","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","discovery_quality_weight","discovery_ai_weight","discovery_tier","innovation_rank","ai_rank","combined_rank","strategic_profile","ai_exposure","innovation_exposure","anomaly_score","is_anomaly","rd_score_norm","patent_score_norm","growth_score_norm","stability_score_norm","ai_score_aggressive","high_growth","high_volatility","has_rd","not_ai_leader","high_potential_flag","unicorn_tier","ai_label_aggressive"
"000660","A6A0F","SK Hynix Inc","KR7000660001","KRX","KOR","Semiconductors (NEC)",6406434,97146675,"2025-12-31",575150784,13.3658399581909,1.62493002414703,1.0610586290583,0.80484141504563,0.645728253845505,"000660",0,0,"USPTO Only",0.0659459935195929,0,0.467628506113037,0.1,0.645728253845505,NA,NA,"Semiconductors (NEC)",FALSE,FALSE,FALSE,FALSE,3,1,4,4,0.55,1,"Emerging","ISIN",TRUE,10,0.0354536893625898,29154910.8818845,0.0020282466973059,1,0.825,2,"AI Follower",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.750223064918318,TRUE,75,25,100,25,48.75,TRUE,TRUE,TRUE,TRUE,TRUE,"Emerging Unicorn Candidate","AI Laggard"
"005380","A4AFC","Hyundai Motor Co","KR7005380001","KRX","KOR","Auto & Truck Manufacturers (NEC)",2717809,186254472,"2025-12-31",105215104,12.2980298995972,1.48403000831604,0.978501024764536,0.929830248934367,0.567614988106107,"005380",0,0,"USPTO Only",0.0145919127246513,0,0.062907301648583,0.1,0.567614988106107,NA,NA,"Auto & Truck Manufacturers (NEC)",FALSE,FALSE,FALSE,FALSE,2,1,2,4,0.375,1,"Emerging","ISIN",TRUE,8,0.0115917577808745,9532341.23561752,0.000663145214439577,1,0.5625,1,"AI Laggard",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.550340427614158,TRUE,50,25,50,25,42.5,TRUE,TRUE,TRUE,TRUE,TRUE,"Emerging Unicorn Candidate","AI Laggard"
"005930","A69DA","Samsung Electronics Co Ltd","KR7005930003","KRX","KOR","Phones & Handheld Devices (NEC)",37740392,333605938,"2025-12-31",1082785024,25.3202991485596,1.2841500043869,0.894106654814211,0.703321994161244,0.473337149628956,"005930",0,0,"USPTO Only",0.11312865779985,0,0.108800933136429,0.1,0.473337149628956,NA,NA,"Phones & Handheld Devices (NEC)",FALSE,FALSE,FALSE,FALSE,3,1,3,3,0.55,1,"Emerging","ISIN",TRUE,13,0.0352199407395733,28962690.5404946,0.00201487432672454,1,0.825,2,"AI Follower",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.920816594406767,TRUE,75,25,75,50,45,TRUE,FALSE,TRUE,TRUE,FALSE,"Growth Candidate","AI Laggard"
"035420","A6DDF","Naver Corp","KR7035420009","KRX","KOR","Search Engines",948174.3,12035007.21898,"2025-12-31",31605810,15.618390083313,0.799570024013519,0.587696938854476,0.48462832447231,0.454207718756631,"035420",0,0,"USPTO Only",0.151991501307566,0,0.120815968676034,0.1,0.454207718756631,NA,NA,"Search Engines",TRUE,FALSE,FALSE,TRUE,4,1,3,3,0.625,1,"Emerging","ISIN",TRUE,7,1.08585881475359e-05,8929.42809158102,6.2120179715e-07,1,0.9375,2,"AI Follower",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.275535915259986,FALSE,100,25,75,50,51.25,TRUE,FALSE,TRUE,TRUE,FALSE,"Growth Candidate","AI Laggard"
"035720","A5D59","Kakao Corp","KR7035720002","KRX","KOR","Online Services (NEC)",608361,8099147.81509,"2025-12-31",20278700,40.3811111450195,1.02008998394012,0.822013218542814,0.583667076884754,0.535095219749702,"035720",0,0,"USPTO Only",0.0774747655958112,0,0.0288953898887432,0.1,0.535095219749702,NA,NA,"Online Services (NEC)",TRUE,FALSE,FALSE,TRUE,3,1,2,3,0.5,1,"Emerging","ISIN",TRUE,7,5.83004724402226e-06,4794.26854842363,3.33527321992e-07,1,0.75,1,"AI Laggard",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.19644311831216,FALSE,75,25,50,50,45,TRUE,TRUE,TRUE,TRUE,TRUE,"Emerging Unicorn Candidate","AI Laggard"
"051910","A6A0D","LG Chem Ltd","KR7051910008","KRX","KOR","Plastics",669243,45932167,"2025-12-31",22234290,NA,1.08124005794525,0.990384710490475,0.764538571676006,0.610159009241902,"051910",0,0,"USPTO Only",0.0145702465986419,0,-0.0610011173416427,0.1,0.610159009241902,NA,NA,"Plastics",FALSE,FALSE,FALSE,FALSE,2,1,1,4,0.325,1,"Emerging","ISIN",TRUE,10,0.00301970832245161,2483220.46628128,0.000172752498878221,1,0.4875,1,"AI Laggard",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.255044521267925,FALSE,50,25,25,25,42.5,TRUE,TRUE,TRUE,TRUE,TRUE,"Emerging Unicorn Candidate","AI Laggard"
"207940","F7B0D","Samsung Biologics Co Ltd","KR7207940008","KRX","KOR","Biopharmaceuticals",37181.22014,4556971.69518,"2025-12-31",69621592,40.6042213439941,0.447890013456345,0.60901085807915,0.433648238799654,0.356680861265977,"207940",0,0,"USPTO Only",0.00815919488359502,0,0.0021220222332248,0.1,0.356680861265977,NA,NA,"Biopharmaceuticals",FALSE,FALSE,FALSE,FALSE,1,1,1,2,0.35,1,"Emerging","ISIN",TRUE,7,6.21897938804946e-06,5114.1021736987,3.55777484126e-07,1,0.525,1,"AI Laggard",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.449704022863455,TRUE,25,25,25,75,28.75,TRUE,FALSE,TRUE,TRUE,FALSE,"Growth Candidate","AI Laggard"
"6501","A4C4C","Hitachi Ltd","JP3788600009","TYO","JPN","Consumer Goods Conglomerates",607402.2,9783370,"2025-03-31",20246740,33.3831901550293,1.19352996349335,0.332905301208992,0.450754997055133,0.481419187429501,"6501",2,0,"USPTO Only",0.00109861228866811,2,0.00561780197921288,0.1,0.481419187429501,NA,NA,"Consumer Goods Conglomerates",TRUE,FALSE,FALSE,TRUE,1,1,1,3,0.3,1,"Emerging","ISIN",TRUE,11,0.017468989252124,14365411.1602751,0.000999371867721034,1,0.45,1,"AI Laggard",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.272985781310888,FALSE,25,25,25,50,32.5,TRUE,FALSE,TRUE,TRUE,FALSE,"Growth Candidate","AI Laggard"
"7974","A4406","Nintendo Co Ltd","JP3756600007","TYO","JPN","Games, Toys & Children's Vehicles",143782,1164922,"2025-03-31",11295710,36.6428718566895,0.312779992818832,0.4917332528866,0.455003054170663,0.421188554621379,"7974",0,0,"USPTO Only",0.123426289485476,0,-0.303220056643329,0.1,0.421188554621379,NA,NA,"Games, Toys & Children's Vehicles",FALSE,FALSE,FALSE,FALSE,3,1,1,2,0.5,1,"Emerging","ISIN",TRUE,12,0.0113907324182239,9367030.46998358,0.000651644887246517,1,0.75,1,"AI Laggard",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.148837664774018,FALSE,75,25,25,75,41.25,TRUE,FALSE,TRUE,TRUE,FALSE,"Growth Candidate","AI Laggard"
"8TRA","00A54","Traton SE","DE000TRAT0N7","ETR","DEU","Heavy Buses & Coaches",462.3,44052,"2025-12-31",15410,9.96121978759766,1.58475995063782,0.401492185084466,0.353359748702531,0.356649401372316,"8TRA",0,0,"USPTO Only",0.01,0,-0.0720620141975439,0.1,0.356649401372316,NA,NA,"Heavy Buses & Coaches",TRUE,FALSE,FALSE,TRUE,2,1,1,2,0.425,1,"Emerging","ISIN",TRUE,2,0.00595910786958755,4900399.98648736,0.000340910666073982,1,0.6375,1,"AI Laggard",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.045465005236249,FALSE,50,25,25,75,35,TRUE,FALSE,TRUE,TRUE,FALSE,"Growth Candidate","AI Laggard"
