"ticker","anomaly_score","is_anomaly","ai_score","innovation_score","in_portfolio"
"AAPL",0.309087950645261,FALSE,0.475,0.475,FALSE
"AMD",0.495183897060075,FALSE,0.475,0.475,FALSE
"AMZN",0.414323766123715,FALSE,0.825,0.825,FALSE
"BAC",0.20677150684917,FALSE,0.425,0.425,FALSE
"DIS",0.106690797694302,FALSE,0.65,0.65,FALSE
"GOOGL",0.361889812020533,FALSE,0.75,0.75,FALSE
"HD",0.071464935228986,FALSE,0.65,0.65,FALSE
"INTC",0.863438685754585,TRUE,0.525,0.525,FALSE
"JNJ",0.224787044458406,FALSE,0.75,0.75,FALSE
"JPM",0,FALSE,0.75,0.75,FALSE
"MA",0.715888486257392,FALSE,0.925,0.925,FALSE
"META",0.159112948382229,FALSE,0.625,0.625,FALSE
"MSFT",0.205379545094333,FALSE,0.625,0.625,FALSE
"NVDA",0.654662478434404,FALSE,0.375,0.375,FALSE
"PFE",0.493478875564542,FALSE,0.825,0.825,FALSE
"PG",0.36808595109931,FALSE,0.475,0.475,FALSE
"TSLA",1,TRUE,0.4,0.4,FALSE
"UNH",0.377284760905343,FALSE,0.55,0.55,FALSE
"V",0.160079051932312,FALSE,0.8,0.8,FALSE
"WMT",0.0181850229830264,FALSE,0.625,0.625,FALSE
