"ticker","ai_score_aggressive","ai_label_aggressive","high_potential_flag","unicorn_tier"
"000660",78.75,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"005380",62.5,"AI Adopter",FALSE,"Monitor"
"005930",65,"AI Adopter",FALSE,"Monitor"
"035420",71.25,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"035720",55,"AI Follower",FALSE,"Monitor"
"051910",42.5,"AI Laggard",FALSE,"Monitor"
"207940",38.75,"AI Laggard",FALSE,"Monitor"
"6501",42.5,"AI Laggard",FALSE,"Monitor"
"7974",41.25,"AI Laggard",FALSE,"Monitor"
"8TRA",35,"AI Laggard",FALSE,"Monitor"
"9984",56.25,"AI Follower",FALSE,"Monitor"
"AAPL",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"ABBV",68.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"ABT",58.75,"AI Follower",FALSE,"Monitor"
"ADBE",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"AFRM",85,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"AMAT",55,"AI Follower",FALSE,"Monitor"
"AMD",92.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"AMT",56.25,"AI Follower",FALSE,"Monitor"
"AMZN",82.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"ANET",85,"AI Leader (Aggressive)",FALSE,"Monitor"
"ANT",67.5,"AI Adopter",FALSE,"Monitor"
"APD",40,"AI Laggard",FALSE,"Monitor"
"APH",50,"AI Follower",FALSE,"Monitor"
"APO",83.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"ARES",72.5,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"ASAN",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"ASML",61.25,"AI Adopter",FALSE,"Monitor"
"AVGO",81.25,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"AXP",61.25,"AI Adopter",FALSE,"Monitor"
"AZN",58.75,"AI Follower",FALSE,"Monitor"
"BA",56.25,"AI Follower",FALSE,"Monitor"
"BABA",48.75,"AI Laggard",FALSE,"Monitor"
"BAC",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"BAM",65,"AI Adopter",FALSE,"Growth Candidate"
"BIDU",51.25,"AI Follower",FALSE,"Monitor"
"BILI",75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"BILL",37.5,"AI Laggard",FALSE,"Monitor"
"BIO",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"BP",45,"AI Laggard",FALSE,"Monitor"
"BX",53.75,"AI Follower",FALSE,"Monitor"
"CAJPY",47.5,"AI Laggard",FALSE,"Monitor"
"CAT",63.75,"AI Adopter",FALSE,"Monitor"
"CBOE",60,"AI Adopter",FALSE,"Growth Candidate"
"CME",71.25,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"COIN",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"CRM",73.75,"AI Leader (Aggressive)",FALSE,"Monitor"
