"ticker","ai_score","innovation_score","anomaly_score","strategic_profile","discovery_tier"
"ORCL",0.65,0.65,1,"Balanced Performer","Tier 3: Watch List"
"T",NA,NA,0.999000377566354,"Underperformer","Tier 4: Monitor"
"005930",0.425,0.425,0.933945741355126,"Underperformer","Tier 4: Monitor"
"PFE",0.55,0.55,0.756270296136929,"Underperformer","Tier 4: Monitor"
"OR",NA,NA,0.744858820563775,"Underperformer","Tier 4: Monitor"
"000660",0.4,0.4,0.735362404430878,"Underperformer","Tier 4: Monitor"
"V",NA,NA,0.700777346762401,"Underperformer","Tier 4: Monitor"
"ANT",NA,NA,0.661652819132536,"Underperformer","Tier 4: Monitor"
"MRK",0.75,0.75,0.558659227834678,"AI Pioneer","Tier 2: Strong Candidates"
"CAT",0.525,0.525,0.472604119358545,"Underperformer","Tier 4: Monitor"
"005380",0.475,0.475,0.460508075076267,"Underperformer","Tier 4: Monitor"
"NOW",0.775,0.775,0.429040566346781,"AI Pioneer","Tier 2: Strong Candidates"
"LI",0.85,0.85,0.379801837142741,"AI Pioneer","Tier 1: Top 10 Opportunities"
"SE",0.8,0.8,0.345393933980215,"AI Pioneer","Tier 1: Top 10 Opportunities"
"MA",NA,NA,0.339738876590815,"Underperformer","Tier 4: Monitor"
"207940",0.45,0.45,0.333824695792512,"Underperformer","Tier 4: Monitor"
"TAK",0.85,0.85,0.322924630782247,"AI Pioneer","Tier 1: Top 10 Opportunities"
"CME",NA,NA,0.313843392596505,"Underperformer","Tier 4: Monitor"
"MS",NA,NA,0.310156270423356,"Underperformer","Tier 4: Monitor"
