"ticker","innovation_score","ai_score","discovery_tier","innovation_rank","ai_rank","combined_rank","discovery_quality_weight","discovery_ai_weight"
"MA",0.925,0.925,"Tier 1: Top 10 Opportunities",1,1,1,0.28030303030303,0.224242424242424
"PFE",0.825,0.825,"Tier 1: Top 10 Opportunities",2,2,2,0.25,0.2
"AMZN",0.825,0.825,"Tier 1: Top 10 Opportunities",3,3,3,0,0.2
"V",0.8,0.8,"Tier 1: Top 10 Opportunities",4,4,4,0.242424242424242,0.193939393939394
"JNJ",0.75,0.75,"Tier 1: Top 10 Opportunities",5.5,5.5,5.5,0,0
"JPM",0.75,0.75,"Tier 1: Top 10 Opportunities",5.5,5.5,5.5,0.227272727272727,0.181818181818182
"GOOGL",0.75,0.75,"Tier 1: Top 10 Opportunities",7,7,7,0,0
"HD",0.65,0.65,"Tier 1: Top 10 Opportunities",8,8,8,0,0
"DIS",0.65,0.65,"Tier 1: Top 10 Opportunities",9,9,9,0,0
"META",0.625,0.625,"Tier 2: Strong Candidates",11,11,11,0,0
"MSFT",0.625,0.625,"Tier 2: Strong Candidates",11,11,11,0,0
"WMT",0.625,0.625,"Tier 2: Strong Candidates",11,11,11,0,0
"UNH",0.55,0.55,"Tier 2: Strong Candidates",13,13,13,0,0
"INTC",0.525,0.525,"Tier 2: Strong Candidates",14,14,14,0,0
"AAPL",0.475,0.475,"Tier 2: Strong Candidates",16,16,16,0,0
"AMD",0.475,0.475,"Tier 2: Strong Candidates",16,16,16,0,0
"PG",0.475,0.475,"Tier 2: Strong Candidates",16,16,16,0,0
"BAC",0.425,0.425,"Tier 2: Strong Candidates",18,18,18,0,0
"TSLA",0.4,0.4,"Tier 2: Strong Candidates",19,19,19,0,0
"NVDA",0.375,0.375,"Tier 2: Strong Candidates",20,20,20,0,0
