"ticker","company_name","ai_score_aggressive","revenue_growth","volatility","unicorn_tier","rd_intensity","patent_activity","market_cap"
"HOOD","HOOD",90,0.515757370382921,0.721962803163614,"Top Unicorn Candidate",0.200536552649229,215,62706.48046875
"HUBS","HUBS",90,0.191708756050805,0.566806351580583,"Top Unicorn Candidate",0.289321635402422,60,12004.26953125
"AFRM","AFRM",85,0.388038479568868,0.699325870341259,"Top Unicorn Candidate",0.200536552649229,0,15789.4501953125
"DDOG","DDOG",85,0.276753685818331,0.571318703617445,"Top Unicorn Candidate",0.451817803556183,7,41237.828125
"FSLY","FSLY",85,0.14777551335722,1.07768873119984,"Top Unicorn Candidate",0.260668762760049,0,4796.8798828125
"SMCI","SMCI",83.75,0.465853230424923,0.815798086933819,"Top Unicorn Candidate",0.0289709076652957,144,13612.9296875
"MCO","MCO",82.5,1,0.76372634723196,"Top Unicorn Candidate",0.00874735207762435,6293,77965.703125
"000660","000660",78.75,0.467628506113037,0.657358383527183,"Emerging Unicorn Candidate",0.0659459935195929,0,652835392
"XPEV","XPEV",78.75,0.877334750246224,0.606684814662208,"Emerging Unicorn Candidate",0.123696701169824,0,16548.349609375
"MS","MS",77.5,0.115365614950832,0.982707401421285,"Emerging Unicorn Candidate",0.0128797668376631,392293,7.85862016677856
"CME","CME",71.25,0.170610821611879,1.84364753327064,"Emerging Unicorn Candidate",0.00674170069465205,846,112680
"MELI","MELI",71.25,0.390624247966501,0.723010517910151,"Emerging Unicorn Candidate",0.00638519439899773,592,1.68198001384735
"NJDCY","NJDCY",68.75,0.11105084913293,1.01249288417029,"Emerging Unicorn Candidate",0.0309067406290252,0,15952.7001953125
