"ticker","ai_score","innovation_score","ai_quartile","innovation_quartile","ai_label","innovation_label","in_portfolio"
"000660",0.4,0.4,1,1,"AI Laggard","Emerging",TRUE
"005380",0.325,0.325,1,1,"AI Laggard","Emerging",TRUE
"005930",0.45,0.45,1,1,"AI Laggard","Emerging",TRUE
"035420",0.525,0.525,1,1,"AI Laggard","Emerging",TRUE
"035720",0.45,0.45,1,1,"AI Laggard","Emerging",TRUE
"051910",0.325,0.325,1,1,"AI Laggard","Emerging",TRUE
"207940",0.35,0.35,1,1,"AI Laggard","Emerging",TRUE
"6501",0.3,0.3,1,1,"AI Laggard","Emerging",TRUE
"7974",0.5,0.5,1,1,"AI Laggard","Emerging",TRUE
"8TRA",0.425,0.425,1,1,"AI Laggard","Emerging",TRUE
"9984",0.25,0.25,1,1,"AI Laggard","Emerging",TRUE
"AAPL",0.725,0.725,3,3,"AI Adopter","Strong",TRUE
"ABBV",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"ABT",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"ADBE",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"AFRM",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"AMAT",0.575,0.575,2,2,"AI Follower","Developing",TRUE
"AMD",0.8,0.8,4,4,"AI Leader","Leader",TRUE
"AMT",0.4,0.4,1,1,"AI Laggard","Emerging",TRUE
"AMZN",0.8,0.8,4,4,"AI Leader","Leader",TRUE
"ANET",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"ANT",0.55,0.55,2,2,"AI Follower","Developing",FALSE
"APD",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"APH",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"APO",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"ARES",0.45,0.45,1,1,"AI Laggard","Emerging",TRUE
"ASAN",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"ASML",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"AVGO",0.525,0.525,1,1,"AI Laggard","Emerging",TRUE
"AXP",0.325,0.325,1,1,"AI Laggard","Emerging",TRUE
"AZN",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"BA",0.725,0.725,3,3,"AI Adopter","Strong",TRUE
"BABA",0.5,0.5,1,1,"AI Laggard","Emerging",TRUE
"BAC",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"BAM",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"BIDU",0.525,0.525,1,1,"AI Laggard","Emerging",FALSE
"BILI",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"BILL",0.375,0.375,1,1,"AI Laggard","Emerging",TRUE
"BIO",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"BP",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"BX",0.425,0.425,1,1,"AI Laggard","Emerging",TRUE
"CAJPY",0.55,0.55,2,2,"AI Follower","Developing",FALSE
"CAT",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"CBOE",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"CME",0.325,0.325,1,1,"AI Laggard","Emerging",TRUE
"COIN",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"CRM",0.525,0.525,1,1,"AI Laggard","Emerging",TRUE
"CRWD",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"CSCO",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"CVX",0.375,0.375,1,1,"AI Laggard","Emerging",TRUE
"DDOG",0.525,0.525,1,1,"AI Laggard","Emerging",TRUE
"DE",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"DIS",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"DOCU",0.725,0.725,3,3,"AI Adopter","Strong",TRUE
"DUK",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"FSLY",0.525,0.525,1,1,"AI Laggard","Emerging",TRUE
"GE",0.825,0.825,4,4,"AI Leader","Leader",TRUE
"GOOGL",0.9,0.9,4,4,"AI Leader","Leader",TRUE
"GRAB",0.575,0.575,2,2,"AI Follower","Developing",TRUE
"GS",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"HD",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"HMC",0.425,0.425,1,1,"AI Laggard","Emerging",FALSE
"HOOD",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"HSBC",0.525,0.525,1,1,"AI Laggard","Emerging",FALSE
"HTHIY",0.425,0.425,1,1,"AI Laggard","Emerging",FALSE
"HUBS",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"IBM",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"IBN",0.525,0.525,1,1,"AI Laggard","Emerging",FALSE
"ICE",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"INF",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"INFY",0.4,0.4,1,1,"AI Laggard","Emerging",TRUE
"INTC",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"IQ",0.725,0.725,3,3,"AI Adopter","Strong",FALSE
"J",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"JBL",0.425,0.425,1,1,"AI Laggard","Emerging",TRUE
"JD",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"JNJ",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"JPM",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"KKR",0.35,0.35,1,1,"AI Laggard","Emerging",TRUE
"KO",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"KSPI",0.45,0.45,1,1,"AI Laggard","Emerging",TRUE
"LI",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"LIN",0.525,0.525,2,2,"AI Follower","Developing",TRUE
"LLY",0.725,0.725,3,3,"AI Adopter","Strong",TRUE
"LMT",0.525,0.525,1,1,"AI Laggard","Emerging",TRUE
"LRCX",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"MA",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"MC",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"MCD",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"MCO",0.525,0.525,2,2,"AI Follower","Developing",TRUE
"MELI",0.375,0.375,1,1,"AI Laggard","Emerging",TRUE
"META",0.575,0.575,2,2,"AI Follower","Developing",TRUE
"MFG",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"MITSY",0.525,0.525,2,2,"AI Follower","Developing",FALSE
"MKTX",0.575,0.575,2,2,"AI Follower","Developing",TRUE
"MMM",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"MQ",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"MRK",0.8,0.8,4,4,"AI Leader","Leader",TRUE
"MS",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"MSCI",0.725,0.725,4,4,"AI Leader","Leader",TRUE
"MSFT",0.875,0.875,4,4,"AI Leader","Leader",TRUE
"MU",0.725,0.725,3,3,"AI Adopter","Strong",TRUE
"NDAQ",0.575,0.575,2,2,"AI Follower","Developing",TRUE
"NEE",0.8,0.8,4,4,"AI Leader","Leader",TRUE
"NET",0.9,0.9,4,4,"AI Leader","Leader",TRUE
"NFLX",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"NIO",0.725,0.725,3,3,"AI Adopter","Strong",FALSE
"NJDCY",0.5,0.5,1,1,"AI Laggard","Emerging",FALSE
"NOW",0.775,0.775,4,4,"AI Leader","Leader",TRUE
"NSRGY",0.65,0.65,3,3,"AI Adopter","Strong",FALSE
"NTES",0.825,0.825,4,4,"AI Leader","Leader",FALSE
"NTRS",0.725,0.725,4,4,"AI Leader","Leader",TRUE
"NU",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"NVDA",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"NVO",0.575,0.575,2,2,"AI Follower","Developing",FALSE
"NVS",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"OKTA",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"OR",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"ORCL",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"PAGS",0.4,0.4,1,1,"AI Laggard","Emerging",TRUE
"PANW",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"PCOR",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"PDD",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"PFE",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"PG",0.725,0.725,4,4,"AI Leader","Leader",TRUE
"PYPL",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"QCOM",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"RELIANCE",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"RKUNY",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"RMSG",0.35,0.35,1,1,"AI Laggard","Emerging",FALSE
"RTX",0.8,0.8,4,4,"AI Leader","Leader",TRUE
"SAIL",0.7,0.7,3,3,"AI Adopter","Strong",FALSE
"SAP",0.9,0.9,4,4,"AI Leader","Leader",TRUE
"SE",0.825,0.825,4,4,"AI Leader","Leader",TRUE
"SFTBF",0.425,0.425,1,1,"AI Laggard","Emerging",TRUE
"SHEL",0.725,0.725,4,4,"AI Leader","Leader",TRUE
"SHOP",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"SIEGY",0.65,0.65,3,3,"AI Adopter","Strong",FALSE
"SMCAY",0.575,0.575,2,2,"AI Follower","Developing",FALSE
"SMCI",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"SMFG",0.575,0.575,2,2,"AI Follower","Developing",FALSE
"SNOW",0.825,0.825,4,4,"AI Leader","Leader",TRUE
"SNPS",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"SNY",0.85,0.85,4,4,"AI Leader","Leader",FALSE
"SOFI",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"SONY",0.85,0.85,4,4,"AI Leader","Leader",FALSE
"SPGI",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"SPOT",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"SQM",0.45,0.45,1,1,"AI Laggard","Emerging",FALSE
"SSDOY",0.525,0.525,2,2,"AI Follower","Developing",FALSE
"STNE",0.525,0.525,2,2,"AI Follower","Developing",TRUE
"STT",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"T",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"TAK",1,1,4,4,"AI Leader","Leader",FALSE
"TCOM",0.875,0.875,4,4,"AI Leader","Leader",FALSE
"TEAM",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"TM",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"TME",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"TMO",0.8,0.8,4,4,"AI Leader","Leader",TRUE
"TOST",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"TSLA",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"TSM",0.8,0.8,4,4,"AI Leader","Leader",TRUE
"TTDKY",0.525,0.525,2,2,"AI Follower","Developing",FALSE
"TTE",0.85,0.85,4,4,"AI Leader","Leader",TRUE
"TW",0.85,0.85,4,4,"AI Leader","Leader",TRUE
"TWLO",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"TXN",0.875,0.875,4,4,"AI Leader","Leader",TRUE
"UL",0.85,0.85,4,4,"AI Leader","Leader",FALSE
"UNH",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"UPS",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"V",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"VIRT",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"VZ",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"WB",0.875,0.875,4,4,"AI Leader","Leader",FALSE
"WDAY",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"WMT",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"WORK",0.85,0.85,4,4,"AI Leader","Leader",FALSE
"XOM",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"XPEV",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"ZM",0.875,0.875,4,4,"AI Leader","Leader",TRUE
"ZS",0.825,0.825,4,4,"AI Leader","Leader",TRUE
