"ticker","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","innovation_score","ai_score"
"000660",0,0,0,0.4,0.4
"005380",0,0,0,0.325,0.325
"005930",0,0,0,0.45,0.45
"035420",0,0,0,0.525,0.525
"035720",0,0,0,0.45,0.45
"051910",0,0,0,0.325,0.325
"207940",0,0,0,0.35,0.35
"6501",0,0,0,0.3,0.3
"7974",0,0,0,0.5,0.5
"8TRA",0,0,0,0.425,0.425
"9984",0,0,0,0.25,0.25
"AAPL",0,0,0.0281287392211753,0.725,0.725
"ABBV",0,0,-0.00123756193354994,0.7,0.7
"ABT",0,0,0,0.55,0.55
"ADBE",0,0,0.00391805969156749,0.65,0.65
"AFRM",0,0,0,0.475,0.475
"AMAT",0,0,0,0.575,0.575
"AMD",0.000658308526706348,0.000658308526706348,0.000658308526706348,0.8,0.8
"AMT",0,0,0,0.4,0.4
"AMZN",0.0757636055863943,0.0757636055863943,0.0757636055863943,0.8,0.8
"ANET",0,0,0,0.6,0.6
"APD",0,0,0,0.475,0.475
"APH",0,0,4.27012888897643e-05,0.65,0.65
"APO",0,0,0,0.6,0.6
"ARES",0,0,0,0.45,0.45
"ASAN",0,0,0,0.6,0.6
"ASML",0,0,0.009645770000363,0.65,0.65
"AVGO",0,0,0,0.525,0.525
"AXP",0,0,0,0.325,0.325
"AZN",0,0,0.00570647219189831,0.7,0.7
"BA",0,0,-0.000792491815562502,0.725,0.725
"BABA",0,0,0,0.5,0.5
"BAC",0,0,0,0.475,0.475
"BAM",0,0,0,0.55,0.55
"BILI",0,0,0,0.6,0.6
"BILL",0,0,0,0.375,0.375
"BIO",0,0,-0.0012233725952584,0.675,0.675
"BP",0,0,0,0.55,0.55
"BX",0,0,0,0.425,0.425
"CAT",0,0,0,0.625,0.625
"CBOE",0,0,0,0.475,0.475
"CME",0,0,0,0.325,0.325
"COIN",0,0,0,0.55,0.55
"CRM",0,0,0,0.525,0.525
"CRWD",0,0,-0.000753335215090873,0.65,0.65
