"ticker","anomaly_score","is_anomaly","ai_score","innovation_score","in_portfolio"
"000660",0.806284743318983,TRUE,0.475,0.475,TRUE
"005380",0.552833020430149,TRUE,0.45,0.45,TRUE
"005930",0.917459349699613,TRUE,0.6,0.6,TRUE
"035420",0.226580951812542,FALSE,0.625,0.625,TRUE
"035720",0.157468113976419,FALSE,0.625,0.625,TRUE
"051910",0.21043626558958,FALSE,0.5,0.5,TRUE
"207940",0.450974217808532,TRUE,0.35,0.35,TRUE
"6501",0.20839082360271,FALSE,0.4,0.4,TRUE
"7974",0.0971317081364671,FALSE,0.55,0.55,TRUE
"8TRA",0.0552273245728141,FALSE,0.475,0.475,TRUE
"9984",0.324210009470985,TRUE,0.35,0.35,TRUE
"AAPL",0.151422677300134,FALSE,0.8,0.8,TRUE
"ABBV",0.0346309903374083,FALSE,0.675,0.675,TRUE
"ABT",0.0558693037744623,FALSE,0.6,0.6,TRUE
"ADBE",0.0424780260709918,FALSE,0.75,0.75,TRUE
"AFRM",0.0841719317427709,FALSE,0.55,0.55,TRUE
"AMAT",0,FALSE,0.625,0.625,TRUE
"AMD",0.0879403961090042,FALSE,0.525,0.525,TRUE
"AMT",0.169653105117257,FALSE,0.475,0.475,TRUE
"AMZN",0.305679658407121,FALSE,0.95,0.95,TRUE
"ANET",0.013636125117304,FALSE,0.625,0.625,TRUE
"ANT",0.553759375173559,TRUE,0.675,0.675,FALSE
"APD",0.0177284466262122,FALSE,0.525,0.525,TRUE
"APH",0.0660341091921249,FALSE,0.65,0.65,TRUE
"APO",0.0156896012379325,FALSE,0.65,0.65,TRUE
"ARES",0.0155170869782498,FALSE,0.625,0.625,TRUE
"ASAN",0.0465111573386721,FALSE,0.55,0.55,TRUE
"ASML",0.0128155527004453,FALSE,0.625,0.625,TRUE
"AVGO",0.0702916398892112,FALSE,0.425,0.425,TRUE
"AXP",0.253101121023159,FALSE,0.475,0.475,TRUE
"AZN",0.0540880729560209,FALSE,0.75,0.75,TRUE
"BA",0.15009424289522,FALSE,0.775,0.775,TRUE
"BABA",0.00911336478284015,FALSE,0.575,0.575,TRUE
"BAC",0.174722108157098,FALSE,0.575,0.575,TRUE
"BAM",0.0573596397578374,FALSE,0.775,0.775,TRUE
"BIDU",0.0686181249300933,FALSE,0.525,0.525,FALSE
"BILI",0.0476619085437735,FALSE,0.725,0.725,TRUE
"BILL",0.145021552302023,FALSE,0.475,0.475,TRUE
"BIO",0.161736024222327,FALSE,0.85,0.85,TRUE
"BP",0.0687120578053119,FALSE,0.7,0.7,TRUE
"BX",0.0273783788745597,FALSE,0.525,0.525,TRUE
