"ticker","balanced_growth_weight","innovation_score","ai_score"
"AAPL",0.0281287392211753,0.825,0.825
"ADBE",0.00391805969156749,0.75,0.75
"AMD",0.000658308526706348,0.95,0.95
"AMZN",0.0757636055863943,0.9,0.9
"ANET",0.00040596130615893,0.75,0.75
"APH",4.27012888897643e-05,0.65,0.65
"ASAN",2.52231651803547e-05,0.7,0.7
"ASML",0.009645770000363,0.7,0.7
"AVGO",0.0356365368986958,0.675,0.675
"AZN",0.00570647219189831,0.75,0.75
"BILI",2.18013912021487e-11,0.7,0.7
"COIN",0.0237890748476674,0.65,0.65
"DE",0.00472798594542009,0.7,0.7
"DOCU",5.34806377578142e-05,0.775,0.775
"GE",0.0488732157935681,0.775,0.775
"GOOGL",0.135919370650644,1,1
"GRAB",0.00616630637556258,0.675,0.675
"GS",0.000754817021376448,0.7,0.7
"HOOD",0.00601018166279522,0.7,0.7
"HUBS",5.73134998743048e-05,0.7,0.7
"J",0.00494268402305646,0.65,0.65
"JD",3.28771191124476e-11,0.675,0.675
"LLY",0.00297286600530379,0.825,0.825
"MRK",0.00125818280510919,0.7,0.7
"MSCI",1.77887357288551e-05,0.725,0.725
"MSFT",0.090787427315594,0.925,0.925
"NFLX",0.00367580519924809,0.725,0.725
"NOW",0.0118488100460742,0.825,0.825
"NU",0.00557864284571446,0.8,0.8
"NVDA",0.0648404392430462,0.75,0.75
"PANW",0.00274196380298423,0.725,0.725
"PCOR",0.00941592551826019,0.65,0.65
"PG",0.000560428077580055,0.625,0.625
"QCOM",0.000391867958474028,0.725,0.725
"RELIANCE",3.66534623386408e-05,0.65,0.65
"RTX",0.0360819413511436,0.7,0.7
"SAP",3.09462966494123e-06,0.95,0.95
"SE",0.0263096086108437,0.725,0.725
"SHEL",9.42961532000277e-05,0.675,0.675
"SHOP",0.0131814192491673,0.65,0.65
"SNOW",0.000771891555201637,0.825,0.825
"SPGI",0.0209847399353532,0.65,0.65
"SPOT",0.000204547671967356,0.65,0.65
"TME",0.000125460916007363,0.75,0.75
"TMO",0.010767873302879,0.7,0.7
"TSM",0.0276493410395827,0.8,0.8
"TW",0.011052718681268,0.85,0.85
"TXN",4.2044377095379e-05,0.825,0.825
"WDAY",0.000688163877372029,0.625,0.625
