"ticker","ai_score","innovation_score","anomaly_score","strategic_profile"
"AMD",0.95,0.95,1,"AI Pioneer"
"T",0.6,0.6,0.943356546639973,"Underperformer"
"005930",0.55,0.55,0.936835622748814,"Underperformer"
"V",0.4,0.4,0.822204890389346,"Underperformer"
"000660",0.55,0.55,0.734714575803077,"Underperformer"
"OR",0.6,0.6,0.720542505488446,"Underperformer"
"CAT",0.625,0.625,0.518100308640235,"Underperformer"
"SAP",0.95,0.95,0.490126001106715,"AI Pioneer"
"005380",0.425,0.425,0.471311477763612,"Underperformer"
"207940",0.4,0.4,0.409159540780379,"Underperformer"
"SE",0.725,0.725,0.384342241570286,"Balanced Performer"
"GOOGL",1,1,0.361627845128237,"AI Pioneer"
"MA",0.75,0.75,0.360409383787975,"AI Pioneer"
"LI",0.625,0.625,0.355162231078639,"Underperformer"
"GE",0.775,0.775,0.321816700794145,"AI Pioneer"
"NET",0.8,0.8,0.298397234604202,"AI Pioneer"
"CME",0.475,0.475,0.291594984142562,"Underperformer"
