"ticker","company_name","ai_score_aggressive","revenue_growth","volatility","unicorn_tier","rd_intensity","patent_activity","market_cap"
"PFE","PFE",90,0.223440718092024,0.775659596425209,"Top Unicorn Candidate",1094.43994399438,577,9.36277961730957
"SPOT","SPOT",88.75,0.297247939091176,0.842860154665584,"Top Unicorn Candidate",0.0140397004356889,1311,97794.109375
"MFG","MFG",87.5,0.222567867022008,0.567600455149108,"Top Unicorn Candidate",0.00943188264192342,12479,276.968505859375
"NJDCY","NJDCY",85,0.264513781480491,1.00818454204656,"Top Unicorn Candidate",5.48301841868059,0,14699.75
"CRM","CRM",83.75,0.211523799411953,0.791176981339453,"Top Unicorn Candidate",0.0362108034611891,565,165503.09375
"CAT","CAT",81.25,0.27495433986187,2.40215524696541,"Top Unicorn Candidate",0.00691683436488113,97783,310546.6875
"HUBS","HUBS",80,0.192526190914214,0.57190879327947,"Top Unicorn Candidate",0.0744285020408183,60,12171.990234375
"AFRM","AFRM",78.75,0.224422056507319,0.712434690876493,"Top Unicorn Candidate",0.0152904443312618,0,14333.75
"000660","000660",72.5,0.274830165319145,0.638136563735728,"Emerging Unicorn Candidate",0.00974938479857888,0,657111616
"AXP","AXP",71.25,0.231263394095004,1.07226608360349,"Emerging Unicorn Candidate",0.00533753807970132,207,204013.703125
"BILL","BILL",71.25,0.276982276793569,0.557030446583236,"Emerging Unicorn Candidate",0.00666695679242921,785,3685.287109375
"051910","051910",68.75,0.194635325856507,0.605321959616751,"Emerging Unicorn Candidate",0.0287244781897702,0,23298700
"STNE","STNE",67.5,0.298396903276444,0.54067500296801,"Emerging Unicorn Candidate",0.00503043792139244,152,3332.24096679688
"9984","9984",56.25,0.187644900660962,0.677911416711442,"Emerging Unicorn Candidate",0.00109861228866811,2,21088140
