"ticker","quality_innovators_weight","innovation_score","volatility"
"AAPL",0.0209917566580385,0.8,0.321676021714973
"ADBE",0.00431303759641128,0.75,0.344887990237975
"AMZN",0.0704518543672446,0.95,0.351498514241045
"AZN",0.00614192320062013,0.75,0.241646258387938
"DE",0.00569757213727206,0.825,0.268857957245024
"GE",0.0542608864159669,0.775,0.294310098673486
"GOOGL",0.124032662688659,0.925,0.299790885809697
"J",0.005400204326582,0.875,0.340979143299396
"JD",0.000000000036540105092283,0.775,0.358251694531877
"MSFT",0.0887599930563765,0.825,0.257022084592301
"NU",0.00604317209422103,0.875,0.412932081300982
"OR",0.0071399646596768,0.775,0.408819792418037
"PG",0.000626999080217391,0.725,0.260105975250406
"SAP",0.00000343684488865082,0.725,0.403369239586344
"SE",0.0289028568699794,0.775,0.39843717194249
"TSM",0.0286827471824247,0.825,0.386223777262782
"TW",0.0114528946350465,0.75,0.300478992979959
"TXN",0.0000465467620466341,0.825,0.412059123364645
"WDAY",0.000446336557320105,0.725,0.41616762662506
