"ticker","quality_innovators_weight","innovation_score","volatility"
"AMD",0.000658308526706348,0.8,0.410528503504417
"AMZN",0.0757636055863943,0.8,0.349818952227981
"DE",0.00472798594542009,0.75,0.296634570171836
"GE",0.0488732157935681,0.825,0.302699912206562
"GOOGL",0.135919370650644,0.9,0.300851950456231
"MRK",0.00125818280510919,0.8,0.215648552065379
"MSCI",1.77887357288551e-05,0.725,0.294904763479489
"MSFT",0.090787427315594,0.875,0.246142324486826
"NU",0.00557864284571446,0.75,0.409419652730317
"PCOR",0.00941592551826019,0.75,0.350085126672765
"PG",0.000560428077580055,0.725,0.271671885505311
"RTX",0.0360819413511436,0.8,0.294576279460669
"SAP",3.09462966494123e-06,0.9,0.385530081779062
"SE",0.0263096086108437,0.825,0.389337769546187
"SHEL",9.42961532000277e-05,0.725,0.214451360541256
"TMO",0.010767873302879,0.8,0.326803384949295
"TSM",0.0276493410395827,0.8,0.384218952633134
"TW",0.011052718681268,0.85,0.304528324875364
"TXN",4.2044377095379e-05,0.875,0.409564624222305
