"ticker","ai_score","innovation_score","anomaly_score","strategic_profile"
"T",0.675,0.675,1,"Balanced Performer"
"005930",0.6,0.6,0.917459349699613,"Underperformer"
"NTRS",0.625,0.625,0.836871488852711,"Underperformer"
"ORCL",0.6,0.6,0.818082461309423,"Underperformer"
"000660",0.475,0.475,0.806284743318983,"Underperformer"
"PFE",0.7,0.7,0.650188080956378,"Balanced Performer"
"V",0.525,0.525,0.635682327403283,"Underperformer"
"OR",0.775,0.775,0.584595982827447,"AI Pioneer"
"005380",0.45,0.45,0.552833020430149,"Underperformer"
"CAT",0.625,0.625,0.550722382868919,"Underperformer"
"MRK",0.7,0.7,0.533633519331376,"Balanced Performer"
"CME",0.325,0.325,0.465771669886679,"Underperformer"
"207940",0.35,0.35,0.450974217808532,"Underperformer"
"NOW",0.825,0.825,0.444114659724913,"AI Pioneer"
"MA",0.825,0.825,0.368887036085469,"AI Pioneer"
"9984",0.35,0.35,0.324210009470985,"Underperformer"
"LI",0.75,0.75,0.323381882351664,"AI Pioneer"
