"ticker","ai_concentrated_weight","ai_score"
"AAPL",0.0209917566580385,0.8
"ADBE",0.00431303759641128,0.75
"AMZN",0.0704518543672446,0.95
"AZN",0.00614192320062013,0.75
"DE",0.00569757213727206,0.825
"GE",0.0542608864159669,0.775
"GOOGL",0.124032662688659,0.925
"J",0.005400204326582,0.875
"JD",0.000000000036540105092283,0.775
"MSFT",0.0887599930563765,0.825
"NOW",0.0137291269735378,0.825
"NU",0.00604317209422103,0.875
"OR",0.0071399646596768,0.775
"PG",0.000626999080217391,0.725
"SAP",0.00000343684488865082,0.725
"SE",0.0289028568699794,0.775
"SNOW",0.000885054129736601,0.775
"TSM",0.0286827471824247,0.825
"TW",0.0114528946350465,0.75
"TXN",0.0000465467620466341,0.825
"WDAY",0.000446336557320105,0.725
