"ticker","ai_concentrated_weight","ai_score"
"AMD",0.000658308526706348,0.8
"AMZN",0.0757636055863943,0.8
"DE",0.00472798594542009,0.75
"GE",0.0488732157935681,0.825
"GOOGL",0.135919370650644,0.9
"MRK",0.00125818280510919,0.8
"MSCI",1.77887357288551e-05,0.725
"MSFT",0.090787427315594,0.875
"NOW",0.0118488100460742,0.775
"NU",0.00557864284571446,0.75
"PCOR",0.00941592551826019,0.75
"PG",0.000560428077580055,0.725
"RTX",0.0360819413511436,0.8
"SAP",3.09462966494123e-06,0.9
"SE",0.0263096086108437,0.825
"SHEL",9.42961532000277e-05,0.725
"SHOP",0.0131814192491673,0.75
"SNOW",0.000771891555201637,0.825
"TME",0.000125460916007363,0.75
"TMO",0.010767873302879,0.8
"TSM",0.0276493410395827,0.8
"TW",0.011052718681268,0.85
"TXN",4.2044377095379e-05,0.875
