"ticker","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","innovation_score","ai_score"
"000660",0,0,0,0.475,0.475
"005380",0,0,0,0.45,0.45
"005930",0,0,0,0.6,0.6
"035420",0,0,0,0.625,0.625
"035720",0,0,0,0.625,0.625
"051910",0,0,0,0.5,0.5
"207940",0,0,0,0.35,0.35
"6501",0,0,0,0.4,0.4
"7974",0,0,0,0.55,0.55
"8TRA",0,0,0,0.475,0.475
"9984",0,0,0,0.35,0.35
"AAPL",0.0209917566580385,0.0209917566580385,0.0209917566580385,0.8,0.8
"ABBV",0,0,-0.00140495064657445,0.675,0.675
"ABT",0,0,0,0.6,0.6
"ADBE",0.00431303759641128,0.00431303759641128,0.00431303759641128,0.75,0.75
"AFRM",0,0,0,0.55,0.55
"AMAT",0,0,0,0.625,0.625
"AMD",0,0,0,0.525,0.525
"AMT",0,0,0,0.475,0.475
"AMZN",0.0704518543672446,0.0704518543672446,0.0704518543672446,0.95,0.95
"ANET",0,0,0,0.625,0.625
"APD",0,0,0,0.525,0.525
"APH",0,0,0.000097298451246319,0.65,0.65
"APO",0,0,-0.00320833925738179,0.65,0.65
"ARES",0,0,0,0.625,0.625
"ASAN",0,0,0,0.55,0.55
"ASML",0,0,0,0.625,0.625
"AVGO",0,0,0,0.425,0.425
"AXP",0,0,0,0.475,0.475
"AZN",0.00614192320062013,0.00614192320062013,0.00614192320062013,0.75,0.75
"BA",-0.00070090164576842,-0.00070090164576842,-0.00070090164576842,0.775,0.775
"BABA",0,0,0,0.575,0.575
"BAC",0,0,0,0.575,0.575
"BAM",-0.000190644253308721,-0.000190644253308721,-0.000190644253308721,0.775,0.775
"BILI",0,0,0.0000000000233715564321718,0.725,0.725
"BILL",0,0,0,0.475,0.475
"BIO",0,-0.00142212617280852,-0.00142212617280852,0.85,0.85
"BP",0,0,0.0000121795762558111,0.7,0.7
"BX",0,0,0,0.525,0.525
"CAT",0,0,0,0.625,0.625
"CBOE",0,0,0,0.625,0.625
"CME",0,0,0,0.325,0.325
"COIN",0,0,0,0.525,0.525
"CRM",0,0,0,0.625,0.625
"CRWD",0,0,0,0.525,0.525
"CSCO",0,0,0,0.625,0.625
"CVX",0,0,0,0.325,0.325
"DDOG",0,0,0,0.525,0.525
"DE",0.00569757213727206,0.00569757213727206,0.00569757213727206,0.825,0.825
"DIS",0,0,0,0.55,0.55
"DOCU",0,0,-0.0000698350048188957,0.675,0.675
"DUK",-0.00304189837412492,-0.00304189837412492,-0.00304189837412492,0.775,0.775
"FSLY",0,0,0,0.575,0.575
"GE",0.0542608864159669,0.0542608864159669,0.0542608864159669,0.775,0.775
"GOOGL",0.124032662688659,0.124032662688659,0.124032662688659,0.925,0.925
"GRAB",0,0,0.00688731847667705,0.675,0.675
"GS",0,0,0.000681415020098807,0.725,0.725
"HD",0,0,-0.00101628479763331,0.675,0.675
"HOOD",0,0,0,0.575,0.575
"HUBS",0,0,-0.000414872038551234,0.65,0.65
"IBM",-0.00308930812869659,-0.00308930812869659,-0.00308930812869659,0.875,0.875
"INF",0,0,0.00153115608818716,0.7,0.7
"INFY",0,0,0,0.35,0.35
"INTC",0,-0.00511100855673771,-0.00511100855673771,0.8,0.8
"J",0.005400204326582,0.005400204326582,0.005400204326582,0.875,0.875
"JBL",0,0,0,0.375,0.375
"JD",0.000000000036540105092283,0.000000000036540105092283,0.000000000036540105092283,0.775,0.775
"JNJ",0,0,-0.00186075934031977,0.65,0.65
"JPM",0,0,0,0.625,0.625
"KKR",0,0,0,0.45,0.45
"KO",-0.000291742143684199,-0.000291742143684199,-0.000291742143684199,0.775,0.775
"KSPI",0,0,0,0.5,0.5
"LI",0,-0.000390689827604678,-0.000390689827604678,0.75,0.75
"LIN",0,0,0,0.475,0.475
"LLY",0,0,0.00317179499106288,0.65,0.65
"LMT",0,0,0,0.525,0.525
"LRCX",0,0,0,0.525,0.525
"MA",0,-0.00116956233862299,-0.00116956233862299,0.825,0.825
"MC",0,0,-0.00189138715888737,0.7,0.7
"MCD",0,0,-0.00696271960120177,0.65,0.65
"MCO",0,0,0,0.525,0.525
"MELI",0,0,0,0.475,0.475
"META",0,0,0,0.475,0.475
"MFG",0,0,0.000135579065485228,0.7,0.7
"MKTX",0,0,0,0.625,0.625
"MMM",0,0,0,0.475,0.475
"MQ",0,0,0,0.425,0.425
"MRK",0,0,0.00150045271393105,0.7,0.7
"MS",0,0,0,0.625,0.625
"MSCI",0,0,0,0.625,0.625
"MSFT",0.0887599930563765,0.0887599930563765,0.0887599930563765,0.825,0.825
"MU",0,0,0,0.6,0.6
"NDAQ",0,0,0,0.525,0.525
"NEE",0,0,-0.000664002849112047,0.7,0.7
"NET",-0.0020209094125302,-0.0020209094125302,-0.0020209094125302,0.725,0.725
"NFLX",0,0,0.00302749556698471,0.65,0.65
"NOW",0,0.0137291269735378,0.0137291269735378,0.825,0.825
"NTRS",0,0,0,0.625,0.625
"NU",0.00604317209422103,0.00604317209422103,0.00604317209422103,0.875,0.875
"NVDA",0,0,0,0.5,0.5
"NVS",0,0,-0.00421280581024685,0.625,0.625
"OKTA",0,0,-0.00164730455642986,0.7,0.7
"OR",0.0071399646596768,0.0071399646596768,0.0071399646596768,0.775,0.775
"ORCL",0,0,0,0.6,0.6
"PAGS",0,0,0,0.35,0.35
"PANW",0,0,0,0.6,0.6
"PCOR",0,0,0.0108326406989171,0.7,0.7
"PDD",0,0,0.0104789822082827,0.675,0.675
"PFE",0,0,-0.00292105927145891,0.7,0.7
"PG",0.000626999080217391,0.000626999080217391,0.000626999080217391,0.725,0.725
"PYPL",0,0,-0.00262294423077457,0.675,0.675
"QCOM",0,0,0,0.575,0.575
"RELIANCE",0,0,0.000040706733383009,0.7,0.7
"RTX",0,0,0.0372121158929335,0.7,0.7
"SAIL",0,0,0,0.525,0.525
"SAP",0.00000343684488865082,0.00000343684488865082,0.00000343684488865082,0.725,0.725
"SE",0.0289028568699794,0.0289028568699794,0.0289028568699794,0.775,0.775
"SFTBF",0,0,0,0.325,0.325
"SHEL",0,0,0.000104723759297093,0.7,0.7
"SHOP",0,0,0.0139833386586166,0.625,0.625
"SMCI",0,0,0,0.55,0.55
"SNOW",0,0.000885054129736601,0.000885054129736601,0.775,0.775
"SNPS",0,0,0,0.45,0.45
"SOFI",0,0,0,0.325,0.325
"SPGI",0,0,0,0.55,0.55
