"ticker","innovation_score","ai_score","discovery_tier","innovation_rank","ai_rank","combined_rank","discovery_quality_weight","discovery_ai_weight"
"TAK",0.9,0.9,"Tier 1: Top 10 Opportunities",1,1,1,0.157205240174672,0.102564102564103
"WORK",0.875,0.875,"Tier 1: Top 10 Opportunities",2,2,2,0.152838427947598,0.0997150997150997
"NTES",0.875,0.875,"Tier 1: Top 10 Opportunities",3,3,3,0.152838427947598,0.0997150997150997
"SONY",0.825,0.825,"Tier 1: Top 10 Opportunities",4,4,4,0.14410480349345,0.094017094017094
"SNY",0.8,0.8,"Tier 1: Top 10 Opportunities",5,5,5,0.139737991266376,0.0911680911680912
"IQ",0.8,0.8,"Tier 1: Top 10 Opportunities",6,6,6,0,0.0911680911680912
"ICE",0.775,0.775,"Tier 1: Top 10 Opportunities",7,7,7,0,0.0883190883190883
"NIO",0.75,0.75,"Tier 1: Top 10 Opportunities",8,8,8,0,0.0854700854700855
"CAJPY",0.725,0.725,"Tier 1: Top 10 Opportunities",9,9,9,0.126637554585153,0.0826210826210826
"TCOM",0.725,0.725,"Tier 1: Top 10 Opportunities",10,10,10,0,0.0826210826210826
"WB",0.725,0.725,"Tier 2: Strong Candidates",11,11,11,0.126637554585153,0.0826210826210826
"RKUNY",0.675,0.675,"Tier 2: Strong Candidates",12,12,12,0,0
"ANT",0.675,0.675,"Tier 2: Strong Candidates",13,13,13,0,0
"NVO",0.65,0.65,"Tier 2: Strong Candidates",14,14,14,0,0
"NJDCY",0.625,0.625,"Tier 2: Strong Candidates",15,15,15,0,0
"UL",0.625,0.625,"Tier 2: Strong Candidates",16,16,16,0,0
"IBN",0.575,0.575,"Tier 2: Strong Candidates",17,17,17,0,0
"BIDU",0.525,0.525,"Tier 2: Strong Candidates",18,18,18,0,0
"HTHIY",0.525,0.525,"Tier 2: Strong Candidates",19,19,19,0,0
"MITSY",0.525,0.525,"Tier 2: Strong Candidates",20,20,20,0,0
"RMSG",0.525,0.525,"Tier 2: Strong Candidates",21,21,21,0,0
"SMCAY",0.525,0.525,"Tier 2: Strong Candidates",22,22,22,0,0
"NSRGY",0.5,0.5,"Tier 2: Strong Candidates",23,23,23,0,0
"SIEGY",0.5,0.5,"Tier 2: Strong Candidates",24,24,24,0,0
"HSBC",0.475,0.475,"Tier 2: Strong Candidates",25,25,25,0,0
"SQM",0.45,0.45,"Tier 3: Watch List",26,26,26,0,0
"HMC",0.425,0.425,"Tier 3: Watch List",27,27,27,0,0
"SMFG",0.425,0.425,"Tier 3: Watch List",28,28,28,0,0
"SSDOY",0.425,0.425,"Tier 3: Watch List",29,29,29,0,0
"TTDKY",0.375,0.375,"Tier 3: Watch List",30,30,30,0,0
