"ticker","innovation_score","ai_score","discovery_tier","innovation_rank","ai_rank","combined_rank","discovery_quality_weight","discovery_ai_weight"
"PFE",0.925,0.925,"Tier 1: Top 10 Opportunities",1,1,1,0,0
"LI",0.9,0.9,"Tier 1: Top 10 Opportunities",2,2,2,0,0
"SAP",0.875,0.875,"Tier 1: Top 10 Opportunities",3,3,3,0,0
"TAK",0.85,0.85,"Tier 1: Top 10 Opportunities",4,4,4,0,0
"ANET",0.85,0.85,"Tier 1: Top 10 Opportunities",6,6,6,0,0
"MSFT",0.85,0.85,"Tier 1: Top 10 Opportunities",6,6,6,0,0
"SNY",0.85,0.85,"Tier 1: Top 10 Opportunities",6,6,6,0,0
"WB",0.825,0.825,"Tier 1: Top 10 Opportunities",8,8,8,0,0
"BIO",0.825,0.825,"Tier 1: Top 10 Opportunities",9.5,9.5,9.5,0,0
"META",0.825,0.825,"Tier 1: Top 10 Opportunities",9.5,9.5,9.5,0,0
"IQ",0.8,0.8,"Tier 2: Strong Candidates",11,11,11,0,0
"HMC",0.8,0.8,"Tier 2: Strong Candidates",12,12,12,0,0
"AMZN",0.775,0.775,"Tier 2: Strong Candidates",14,14,14,0,0
"NTES",0.775,0.775,"Tier 2: Strong Candidates",14,14,14,0,0
"NVS",0.775,0.775,"Tier 2: Strong Candidates",14,14,14,0,0
"AVGO",0.75,0.75,"Tier 2: Strong Candidates",16.5,16.5,16.5,0,0
"PCOR",0.75,0.75,"Tier 2: Strong Candidates",16.5,16.5,16.5,0,0
"BA",0.75,0.75,"Tier 2: Strong Candidates",18.5,18.5,18.5,0,0
"PDD",0.75,0.75,"Tier 2: Strong Candidates",18.5,18.5,18.5,0,0
"SHEL",0.725,0.725,"Tier 2: Strong Candidates",20,20,20,0,0
"CAT",0.725,0.725,"Tier 2: Strong Candidates",21.5,21.5,21.5,0,0
"TEAM",0.725,0.725,"Tier 2: Strong Candidates",21.5,21.5,21.5,0,0
"BABA",0.725,0.725,"Tier 2: Strong Candidates",23.5,23.5,23.5,0,0
"JD",0.725,0.725,"Tier 2: Strong Candidates",23.5,23.5,23.5,0,0
"BILI",0.7,0.7,"Tier 2: Strong Candidates",25,25,25,0,0
"CRM",0.7,0.7,"Tier 3: Watch List",29,29,29,0,0
"DE",0.7,0.7,"Tier 3: Watch List",29,29,29,0,0
"GOOGL",0.7,0.7,"Tier 3: Watch List",29,29,29,0,0
"SNOW",0.7,0.7,"Tier 3: Watch List",29,29,29,0,0
"TXN",0.7,0.7,"Tier 3: Watch List",29,29,29,0,0
"XOM",0.7,0.7,"Tier 3: Watch List",29,29,29,0,0
"ZM",0.7,0.7,"Tier 3: Watch List",29,29,29,0,0
"AAPL",0.675,0.675,"Tier 3: Watch List",34,34,34,0,0
"CSCO",0.675,0.675,"Tier 3: Watch List",34,34,34,0,0
"UL",0.675,0.675,"Tier 3: Watch List",34,34,34,0,0
"APH",0.675,0.675,"Tier 3: Watch List",38.5,38.5,38.5,0,0
"BIDU",0.675,0.675,"Tier 3: Watch List",38.5,38.5,38.5,0,0
"MELI",0.675,0.675,"Tier 3: Watch List",38.5,38.5,38.5,0,0
"TCOM",0.675,0.675,"Tier 3: Watch List",38.5,38.5,38.5,0,0
"TSM",0.675,0.675,"Tier 3: Watch List",38.5,38.5,38.5,0,0
"WDAY",0.675,0.675,"Tier 3: Watch List",38.5,38.5,38.5,0,0
"ABBV",0.65,0.65,"Tier 3: Watch List",43.5,43.5,43.5,0,0
"HUBS",0.65,0.65,"Tier 3: Watch List",43.5,43.5,43.5,0,0
"NVO",0.65,0.65,"Tier 3: Watch List",43.5,43.5,43.5,0,0
"RTX",0.65,0.65,"Tier 3: Watch List",43.5,43.5,43.5,0,0
"IBM",0.65,0.65,"Tier 3: Watch List",46,46,46,0,0
"ABT",0.625,0.625,"Tier 4: Monitor",53.5,53.5,53.5,0,0
"ADBE",0.625,0.625,"Tier 4: Monitor",53.5,53.5,53.5,0,0
"AMAT",0.625,0.625,"Tier 4: Monitor",53.5,53.5,53.5,0,0
"BILL",0.625,0.625,"Tier 4: Monitor",53.5,53.5,53.5,0,0
