"ticker","ai_score","innovation_score","ai_quartile","innovation_quartile","ai_label","innovation_label","in_portfolio"
"000660",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"005380",0.45,0.45,1,1,"AI Laggard","Emerging",TRUE
"005930",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"035420",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"035720",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"051910",0.5,0.5,1,1,"AI Laggard","Emerging",TRUE
"207940",0.35,0.35,1,1,"AI Laggard","Emerging",TRUE
"6501",0.4,0.4,1,1,"AI Laggard","Emerging",TRUE
"7974",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"8TRA",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"9984",0.35,0.35,1,1,"AI Laggard","Emerging",TRUE
"AAPL",0.8,0.8,4,4,"AI Leader","Leader",TRUE
"ABBV",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"ABT",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"ADBE",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"AFRM",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"AMAT",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"AMD",0.525,0.525,1,1,"AI Laggard","Emerging",TRUE
"AMT",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"AMZN",0.95,0.95,4,4,"AI Leader","Leader",TRUE
"ANET",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"ANT",0.675,0.675,3,3,"AI Adopter","Strong",FALSE
"APD",0.525,0.525,1,1,"AI Laggard","Emerging",TRUE
"APH",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"APO",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"ARES",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"ASAN",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"ASML",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"AVGO",0.425,0.425,1,1,"AI Laggard","Emerging",TRUE
"AXP",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"AZN",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"BA",0.775,0.775,4,4,"AI Leader","Leader",TRUE
"BABA",0.575,0.575,2,2,"AI Follower","Developing",TRUE
"BAC",0.575,0.575,2,2,"AI Follower","Developing",TRUE
"BAM",0.775,0.775,4,4,"AI Leader","Leader",TRUE
"BIDU",0.525,0.525,1,1,"AI Laggard","Emerging",FALSE
"BILI",0.725,0.725,3,3,"AI Adopter","Strong",TRUE
"BILL",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"BIO",0.85,0.85,4,4,"AI Leader","Leader",TRUE
"BP",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"BX",0.525,0.525,1,1,"AI Laggard","Emerging",TRUE
"CAJPY",0.725,0.725,4,4,"AI Leader","Leader",FALSE
"CAT",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"CBOE",0.625,0.625,2,2,"AI Follower","Developing",TRUE
