"ticker","ai_score_aggressive","ai_label_aggressive","high_potential_flag","unicorn_tier"
"000660",48.75,"AI Laggard",TRUE,"Emerging Unicorn Candidate"
"005380",42.5,"AI Laggard",TRUE,"Emerging Unicorn Candidate"
"005930",45,"AI Laggard",FALSE,"Growth Candidate"
"035420",51.25,"AI Follower",FALSE,"Growth Candidate"
"035720",45,"AI Laggard",TRUE,"Emerging Unicorn Candidate"
"051910",42.5,"AI Laggard",TRUE,"Emerging Unicorn Candidate"
"207940",28.75,"AI Laggard",FALSE,"Growth Candidate"
"6501",32.5,"AI Laggard",FALSE,"Growth Candidate"
"7974",41.25,"AI Laggard",FALSE,"Growth Candidate"
"8TRA",35,"AI Laggard",FALSE,"Growth Candidate"
"9984",36.25,"AI Laggard",TRUE,"Emerging Unicorn Candidate"
"AAPL",56.25,"AI Follower",FALSE,"Growth Candidate"
"ABBV",48.75,"AI Laggard",FALSE,"Growth Candidate"
"ABT",58.75,"AI Follower",TRUE,"Emerging Unicorn Candidate"
"ADBE",52.5,"AI Follower",FALSE,"Growth Candidate"
"AFRM",55,"AI Follower",TRUE,"Emerging Unicorn Candidate"
"AMAT",45,"AI Laggard",FALSE,"Growth Candidate"
"AMD",62.5,"AI Adopter",FALSE,"Monitor"
"AMT",46.25,"AI Laggard",TRUE,"Emerging Unicorn Candidate"
"AMZN",62.5,"AI Adopter",FALSE,"Monitor"
"ANET",55,"AI Follower",TRUE,"Emerging Unicorn Candidate"
"ANT",57.5,"AI Follower",TRUE,"Emerging Unicorn Candidate"
"APD",30,"AI Laggard",FALSE,"Growth Candidate"
"APH",50,"AI Laggard",FALSE,"Growth Candidate"
"APO",53.75,"AI Follower",TRUE,"Emerging Unicorn Candidate"
"ARES",42.5,"AI Laggard",FALSE,"Growth Candidate"
"ASAN",56.25,"AI Follower",TRUE,"Emerging Unicorn Candidate"
"ASML",51.25,"AI Follower",FALSE,"Growth Candidate"
"AVGO",51.25,"AI Follower",FALSE,"Growth Candidate"
