"ticker","balanced_growth_weight","innovation_score","ai_score"
"AAPL",0.0212285192263356,0.725,0.725
"ADBE",0.00438840850228442,0.65,0.65
"AMD",0.000678136630230108,0.75,0.75
"AMZN",0.0707390479327638,0.8,0.8
"APH",8.06185697173135e-05,0.65,0.65
"ASML",0.0106932787183266,0.65,0.65
"AZN",0.00538117808504224,0.7,0.7
"DE",0.00558048372095415,0.75,0.75
"GE",0.0541490345893172,0.825,0.825
"GOOGL",0.125272715753877,0.9,0.9
"GS",0.000645668910030547,0.7,0.7
"INF",0.00192227017715322,0.65,0.65
"J",0.00527526643424318,0.7,0.7
"LLY",0.00316311740407197,0.725,0.725
"MFG",0.000141932236019761,0.65,0.65
"MRK",0.00133601582785522,0.8,0.8
"MS",0.000136401810772824,0.65,0.65
"MSCI",1.97123709950611e-05,0.725,0.725
"MSFT",0.0887431115755855,0.875,0.875
"NFLX",0.00303445117596547,0.675,0.675
"NOW",0.0136300823923847,0.775,0.775
"NU",0.00613123786084364,0.75,0.75
"NVDA",0.0571002108847831,0.7,0.7
"OR",0.00704576502293261,0.75,0.75
"PANW",0.0028741056012468,0.675,0.675
"PCOR",0.011064733965859,0.75,0.75
"PG",0.000611840728577308,0.725,0.725
"QCOM",0.000426500971676019,0.675,0.675
"RELIANCE",4.06056251405196e-05,0.65,0.65
"RTX",0.0376945971904516,0.8,0.8
"SAP",3.42830838086645e-06,0.9,0.9
"SE",0.0291932626941816,0.825,0.825
"SHEL",0.000104463644216136,0.725,0.725
"SHOP",0.0147955985486336,0.75,0.75
"SNOW",0.000881714392108708,0.825,0.825
"SPGI",0.023210719489641,0.7,0.7
"SPOT",0.000240825059423542,0.7,0.7
"TME",9.48400305971732e-05,0.75,0.75
"TMO",0.0113784907510959,0.8,0.8
"TOST",0.000190516823579374,0.675,0.675
"TSM",0.0299997273692701,0.8,0.8
"TW",0.0115151989178568,0.85,0.85
"TXN",5.34339877585198e-05,0.875,0.875
"WDAY",0.000786347920618199,0.725,0.725
