"ticker","ai_score","innovation_score","ai_quartile","innovation_quartile","ai_label","innovation_label","in_portfolio"
"000660",0.4,0.4,1,1,"AI Laggard","Emerging",FALSE
"005380",0.475,0.475,1,1,"AI Laggard","Emerging",FALSE
"005930",0.425,0.425,1,1,"AI Laggard","Emerging",FALSE
"035420",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"035720",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"051910",0.375,0.375,1,1,"AI Laggard","Emerging",FALSE
"207940",0.4,0.4,1,1,"AI Laggard","Emerging",FALSE
"6501",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"7974",0.475,0.475,1,1,"AI Laggard","Emerging",FALSE
"8TRA",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"9984",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"AAPL",0.675,0.675,3,3,"AI Adopter","Strong",FALSE
"ABBV",0.65,0.65,3,3,"AI Adopter","Strong",FALSE
"ABT",0.625,0.625,2,2,"AI Follower","Developing",FALSE
"ADBE",0.625,0.625,2,2,"AI Follower","Developing",FALSE
"AFRM",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"AMAT",0.625,0.625,2,2,"AI Follower","Developing",FALSE
"AMD",0.55,0.55,2,2,"AI Follower","Developing",FALSE
"AMT",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"AMZN",0.775,0.775,4,4,"AI Leader","Leader",FALSE
"ANET",0.85,0.85,4,4,"AI Leader","Leader",FALSE
"ANT",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"APD",0.575,0.575,2,2,"AI Follower","Developing",FALSE
"APH",0.675,0.675,3,3,"AI Adopter","Strong",FALSE
"APO",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"ARES",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"ASAN",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"ASML",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"AVGO",0.75,0.75,4,4,"AI Leader","Leader",FALSE
"AXP",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"AZN",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"BA",0.75,0.75,4,4,"AI Leader","Leader",FALSE
"BABA",0.725,0.725,4,4,"AI Leader","Leader",FALSE
"BAC",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"BAM",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"BIDU",0.675,0.675,3,3,"AI Adopter","Strong",FALSE
"BILI",0.7,0.7,4,4,"AI Leader","Leader",FALSE
"BILL",0.625,0.625,2,2,"AI Follower","Developing",FALSE
"BIO",0.825,0.825,4,4,"AI Leader","Leader",FALSE
"BLK",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"BP",0.55,0.55,2,2,"AI Follower","Developing",FALSE
"BX",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"BYDDF",0.55,0.55,2,2,"AI Follower","Developing",FALSE
"CAJPY",0.625,0.625,2,2,"AI Follower","Developing",FALSE
"CAT",0.725,0.725,4,4,"AI Leader","Leader",FALSE
"CBOE",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"CME",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
"COIN",0.625,0.625,2,2,"AI Follower","Developing",FALSE
"CRM",0.7,0.7,3,3,"AI Adopter","Strong",FALSE
"CRWD",NA,NA,NA,NA,"AI Laggard","Emerging",FALSE
