"ticker","market_cap","rd_expense","patent_activity","industry","fund_weight","dumac_allocation","n_funds","rd_intensity","patent_productivity","industry_ai_multiplier","ai_patent_count_placeholder","ai_intensity_proxy","volatility_360d","revenue_growth","rd_intensity_score","patent_score","growth_score","stability_score","innovation_score","innovation_quartile","ai_intensity_score","ai_intensity_quartile","ai_rd_intensity","ai_patent_quality_proxy","ai_growth_momentum","ai_industry_multiplier","innovation_label","ai_label","strategic_position"
NA,4.51e+12,12914,171,"Unknown",5.79702849401973,17.644737195,1436,2.86341463414634e-07,13241443.3947654,1,40,62.1,0.268313651694916,0.0624693136662245,0,17.1571906354515,4.20754415626501,9.9934904381167,31.4,2,40.6,4,2.86341463414634e-06,75.5204678362573,0.169609009545944,1,"Q3","Q1 (High)","AI Specialist (Low Overall)"
"SYN001",91896369429.7709,472273757.757619,234,"Financials",0.0263087338625919,0.00822257328592241,1,0.513919930339077,495.475338521972,0.8,56,10.5,0.404144120542333,-0.0404243158176541,0.189851491752592,23.4782608695652,0,5.89831822722134,29.6,2,7.1,1,5.13919930339077,2018263.92204111,-0.0801840469232642,0.9,"Q3","Q4 (Low)","Balanced"
"SYN002",35786988908.1921,707305866.346694,104,"Technology",0.0403614739950281,0.00178709389269352,1,1.97643302196006,147.03681242907,1.5,11,32.7,0.2196375064319,0.138536966219544,0.73013107708253,10.4347826086957,9.33098778318877,11.4610344958386,32,3,20.5,4,19.7643302196006,6801017.94564129,0.433418993177699,1.3,"Q2","Q1 (High)","Balanced"
"SYN003",26144852347.672,615102176.832967,7,"Technology",0.00301533912937157,0.0111891051698476,1,2.35267030256431,11.3802230973097,1.5,2,17.5,0.340371439722367,0.134823243971914,0.869120138524178,0.702341137123746,9.08085456699086,7.82100989223794,18.5,1,22,4,23.5267030256431,87871739.5475667,0.306158010739556,1.3,"Q4 (Low)","Q1 (High)","AI Specialist (Low Overall)"
"SYN004",71697043128.5445,1541754085.54543,187,"Healthcare",0.0359546826540027,0.00713835487258621,1,2.15037331843831,121.290419628656,1.3,33,5.9,0.316775165172294,0.15279922420159,0.794387863426421,18.7625418060201,10.291604711816,8.53241734476367,38.4,3,17.7,4,21.5037331843831,8244674.25425364,0.366622670855215,1.2,"Q2","Q1 (High)","Balanced"
"SYN005",22628578355.7687,457572965.84337,39,"Industrials",0.035732161269756,0.0101103212966118,1,2.02210213407738,85.2323080934592,1.1,6,12.9,0.593926833267324,-0.0690988283604383,0.747002097997481,3.91304347826087,0,0.176532107696318,4.8,1,12.8,2,20.2210213407738,11732640.14983,-0.0995765332132922,1.1,"Q4 (Low)","Q3","Balanced"
"SYN006",44893199697.6025,921196197.732585,54,"Energy",0.0448792415293865,0.00919066485576332,1,2.0519726906028,58.6194343104266,0.8,11,20.1,0.282068301364779,-0.0538421080447733,0.758036838120899,5.4180602006689,0,9.57879954014226,15.8,1,7.8,1,20.5197269060281,17059188.8468997,-0.140922729921443,0.9,"Q4 (Low)","Q4 (Low)","Balanced"
"SYN007",69925055512.2271,1676215117.00028,191,"Technology",0.0144829543246888,0.0095307665693108,1,2.39715950844998,113.947188557642,1.5,15,19.1,0.593188621359877,0.192423392832279,0.885555280093358,19.1638795986622,12.9604420878709,0.198788563959622,33.2,3,19.9,4,23.9715950844998,8775995.37696482,0.277591678372892,1.3,"Q2","Q1 (High)","Balanced"
"SYN008",67676910066.9771,513668598.866556,51,"Industrials",0.00760545238899067,0.0228392436590511,1,0.759001258122155,99.2858043348083,1.1,9,7.2,0.404662828682922,0.276028550509363,0.280389100547596,5.11705685618729,18.5915651461033,5.88267962138473,29.9,2,15.7,3,7.59001258122156,10071933.3111089,0.546956373287384,1.1,"Q3","Q2","Balanced"
"SYN009",18873378272.634,921288384.216139,109,"Healthcare",0.0463816129227635,0.0132058003565762,1,4.88141747019392,118.312573855732,1.3,21,10.2,0.489206580817699,-0.0701148702763021,1.80328645741634,10.9364548494983,0,3.333757959809,16.1,1,16.2,3,48.8141747019392,8452187.01115724,-0.118998790167952,1.2,"Q4 (Low)","Q2","Balanced"
