"ticker","innovation_score","ai_score","discovery_tier","innovation_rank","ai_rank","combined_rank","discovery_quality_weight","discovery_ai_weight"
"WMT",0.875,0.875,"Tier 1: Top 10 Opportunities",1,1,1,0.353535353535354,0.21875
"UNH",0.8,0.8,"Tier 1: Top 10 Opportunities",2,2,2,0.323232323232323,0.2
"HD",0.8,0.8,"Tier 1: Top 10 Opportunities",3,3,3,0.323232323232323,0.2
"V",0.775,0.775,"Tier 1: Top 10 Opportunities",4,4,4,0,0.19375
"META",0.75,0.75,"Tier 1: Top 10 Opportunities",5,5,5,0,0.1875
"AMD",0.7,0.7,"Tier 1: Top 10 Opportunities",6.5,6.5,6.5,0,0
"PFE",0.7,0.7,"Tier 1: Top 10 Opportunities",6.5,6.5,6.5,0,0
"PG",0.625,0.625,"Tier 1: Top 10 Opportunities",8,8,8,0,0
"JNJ",0.6,0.6,"Tier 1: Top 10 Opportunities",9.5,9.5,9.5,0,0
"MSFT",0.6,0.6,"Tier 1: Top 10 Opportunities",9.5,9.5,9.5,0,0
"AAPL",0.6,0.6,"Tier 2: Strong Candidates",11.5,11.5,11.5,0,0
"AMZN",0.6,0.6,"Tier 2: Strong Candidates",11.5,11.5,11.5,0,0
"GOOGL",0.575,0.575,"Tier 2: Strong Candidates",13.5,13.5,13.5,0,0
"INTC",0.575,0.575,"Tier 2: Strong Candidates",13.5,13.5,13.5,0,0
"JPM",0.55,0.55,"Tier 2: Strong Candidates",15.5,15.5,15.5,0,0
"NVDA",0.55,0.55,"Tier 2: Strong Candidates",15.5,15.5,15.5,0,0
"DIS",0.5,0.5,"Tier 2: Strong Candidates",17.5,17.5,17.5,0,0
"MA",0.5,0.5,"Tier 2: Strong Candidates",17.5,17.5,17.5,0,0
"TSLA",0.45,0.45,"Tier 2: Strong Candidates",19,19,19,0,0
"BAC",0.375,0.375,"Tier 2: Strong Candidates",20,20,20,0,0
