"ticker","company_name","ai_score_aggressive","revenue_growth","volatility","unicorn_tier","rd_intensity","patent_activity","market_cap"
"HUBS","HUBS",83.75,0.251371618919075,0.569491746786747,"Top Unicorn Candidate",0.0721919849391351,60,12549.080078125
"MU","MU",81.25,0.282074409257621,0.647444021137262,"Top Unicorn Candidate",0.00851468919801094,100881,446052.6875
"ASAN","ASAN",80,0.166970605868846,0.612300827987604,"Top Unicorn Candidate",0.202175443480273,560,1485.67004394531
"PFE","PFE",80,0.168304053507745,0.78066376830752,"Top Unicorn Candidate",1155.24240498388,577,8.86999988555908
"DDOG","DDOG",78.75,0.278295665048063,0.572695906381726,"Top Unicorn Candidate",0.0357019911251964,7,43371.55859375
"COIN","COIN",77.5,0.27622595122084,0.868750049483056,"Top Unicorn Candidate",0.031059041619127,802,47808.171875
"005380","005380",72.5,0.274830165319145,0.565052351669765,"Emerging Unicorn Candidate",0.0234472159003656,0,115911800
"SPOT","SPOT",72.5,0.168823315296322,0.845153977239983,"Emerging Unicorn Candidate",0.0137544765207961,1311,99822.046875
"000660","000660",66.25,0.265922417398542,0.639089781976734,"Emerging Unicorn Candidate",0.00911656585522679,0,702724480
"ANET","ANET",62.5,0.170242909807712,0.532153301166459,"Emerging Unicorn Candidate",0.00752820705687653,2093,164355.203125
"SHOP","SHOP",62.5,0.167780303116888,0.534717823187562,"Emerging Unicorn Candidate",0.0073060806451226,1592,208456.5
