"date","ticker","price","monthly_return","volatility_12m","total_return"
2016-01-30,"000660 KS Equity",27300,NA,0.184719690843745,37.9377289377289
2016-01-30,"005380 KS Equity",133000,NA,0.193725839237341,4.05263157894737
2016-01-30,"005930 KS Equity",23000,NA,0.167577203245426,8.45652173913044
2016-01-30,"035420 KS Equity",125600,NA,0.286069871809492,1.03423566878981
2016-01-30,"035720 KS Equity",21860,NA,0.207360898601042,1.86367795059469
2016-01-30,"051910 KS Equity",295500,NA,0.317551217802766,0.404399323181049
2016-01-30,"6501 JT Equity",586.4,NA,0.409395836758821,7.91200545702592
2016-01-30,"7974 JP Equity",1665.5,NA,0.583374170766582,4.40078054638247
2016-01-30,"9984 JT Equity",658.1,NA,0.287178369775407,5.21334143747151
2016-01-30,"AAPL US Equity",24.335,NA,0.254349850080809,9.85596876926238
2016-01-30,"ABBV US Equity",54.9,NA,0.203445635459201,3.22732240437159
2016-01-30,"ABT US Equity",37.85,NA,0.222386950665876,2.07397622192867
2016-01-30,"ADBE US Equity",89.13,NA,0.165528553749101,1.94412655671491
2016-01-30,"ALIZF US Equity",160.375,NA,0.211677942624442,1.83086515978176
2016-01-30,"AMAT US Equity",17.65,NA,0.269860906356103,20.0934844192635
2016-01-30,"AMD US Equity",2.2,NA,0.499104227101039,90.0045454545455
2016-01-30,"AMT US Equity",94.34,NA,0.209290100944818,1.03370786516854
2016-01-30,"AMZN US Equity",29.35,NA,0.223044561193432,6.15502555366269
2016-01-30,"ANET US Equity",3.7519,NA,0.297482899082534,34.5819718009542
2016-01-30,"APD US Equity",117.1439,NA,0.155507575976108,1.35325953805533
2016-01-30,"APH US Equity",12.3925,NA,0.136291162959259,10.7861609844664
2016-01-30,"APO US Equity",13.58,NA,0.254300098671612,6.70250368188512
2016-01-30,"ARES US Equity",11.76,NA,0.406428719005417,8.52465986394558
2016-01-30,"ASML US Equity",91.84,NA,0.193801259115176,14.794425087108
2016-01-30,"AVGO US Equity",13.371,NA,0.201595369134104,22.8987360706006
2016-01-30,"AXP US Equity",53.5,NA,0.175928359809594,4.77383177570093
