"ticker","anomaly_score","is_anomaly","ai_score","innovation_score","in_portfolio"
"000660",0.839045129282199,TRUE,0.4,0.4,FALSE
"005380",0.572034907862808,TRUE,0.475,0.475,FALSE
"005930",1,TRUE,0.425,0.425,FALSE
"035420",0.28662009196747,TRUE,NA,NA,FALSE
"035720",0.170366794670152,FALSE,NA,NA,FALSE
"051910",0.196236153751325,FALSE,0.375,0.375,FALSE
"207940",0.399352100296962,TRUE,0.4,0.4,FALSE
"6501",0.207090534904588,FALSE,NA,NA,FALSE
"7974",0.081193899760645,FALSE,0.475,0.475,FALSE
"8TRA",0.0434271290493615,FALSE,NA,NA,FALSE
"9984",0.210975458279819,FALSE,NA,NA,FALSE
"AAPL",0.0838748082086878,FALSE,0.675,0.675,FALSE
"ABBV",0.0653752766112535,FALSE,0.65,0.65,FALSE
"ABT",0.0557751082319639,FALSE,0.625,0.625,FALSE
"ADBE",0.0101325329071419,FALSE,0.625,0.625,FALSE
"AFRM",0.212139212179415,FALSE,NA,NA,FALSE
"AMAT",0.0730266721210989,FALSE,0.625,0.625,FALSE
"AMD",0.127614780735338,FALSE,0.55,0.55,FALSE
"AMT",0.031807843222779,FALSE,NA,NA,FALSE
"AMZN",0.0778423932772829,FALSE,0.775,0.775,FALSE
"ANET",0.252728572820427,FALSE,0.85,0.85,FALSE
"ANT",0.177419424398388,FALSE,NA,NA,FALSE
"APD",0.123563434443415,FALSE,0.575,0.575,FALSE
"APH",0.0616259275241494,FALSE,0.675,0.675,FALSE
"APO",0.188786091212775,FALSE,NA,NA,FALSE
"ARES",0.0266509859001714,FALSE,NA,NA,FALSE
"ASAN",0.0996717307250172,FALSE,0.6,0.6,FALSE
"ASML",0.034081741627926,FALSE,0.6,0.6,FALSE
"AVGO",0.27427960530473,TRUE,0.75,0.75,FALSE
"AXP",0.0706207005349761,FALSE,NA,NA,FALSE
"AZN",0.281011191978976,TRUE,NA,NA,FALSE
"BA",0.248155116143501,FALSE,0.75,0.75,FALSE
"BABA",0.0504220462900079,FALSE,0.725,0.725,FALSE
"BAC",0.141067961732286,FALSE,NA,NA,FALSE
"BAM",0.121217307846607,FALSE,NA,NA,FALSE
"BIDU",0.153218400768986,FALSE,0.675,0.675,FALSE
"BILI",0.246136366013339,FALSE,0.7,0.7,FALSE
"BILL",0.0948289072408413,FALSE,0.625,0.625,FALSE
"BIO",0.169063030589306,FALSE,0.825,0.825,FALSE
"BLK",0.0348778671041606,FALSE,NA,NA,FALSE
"BP",0.00701701154471066,FALSE,0.55,0.55,FALSE
"BX",0.0181759153264719,FALSE,NA,NA,FALSE
"BYDDF",0.0387493587122042,FALSE,0.55,0.55,FALSE
"CAJPY",0.612250364540102,TRUE,0.625,0.625,FALSE
"CAT",0.152196745024185,FALSE,0.725,0.725,FALSE
"CBOE",0.043382908622809,FALSE,NA,NA,FALSE
"CME",0.120646491359601,FALSE,NA,NA,FALSE
"COIN",0.204782028523507,FALSE,0.625,0.625,FALSE
"CRM",0.0182135882362297,FALSE,0.7,0.7,FALSE
"CRWD",0.22833402127987,FALSE,NA,NA,FALSE
"CSCO",0.0196757258368454,FALSE,0.675,0.675,FALSE
"CVX",0.0257112183181208,FALSE,0.45,0.45,FALSE
"DDOG",0.042190678798792,FALSE,0.525,0.525,FALSE
"DE",0.273766086231621,TRUE,0.7,0.7,FALSE
"DIS",0.108159960753382,FALSE,NA,NA,FALSE
"DOCU",0.0981372725545338,FALSE,0.625,0.625,FALSE
"DUK",0.0725417094049762,FALSE,NA,NA,FALSE
"EADSY",0.136133049661967,FALSE,NA,NA,FALSE
"FANUY",0.11677187915132,FALSE,NA,NA,FALSE
"FRCOY",0.14540061692817,FALSE,NA,NA,FALSE
"FSLY",0.409841371659661,TRUE,0.4,0.4,FALSE
"GE",0.245145538317414,FALSE,0.575,0.575,FALSE
"GOOGL",0.0774891342453495,FALSE,0.7,0.7,FALSE
"GRAB",0.0140369870944894,FALSE,0.625,0.625,FALSE
"GS",0.24121424270302,FALSE,NA,NA,FALSE
"HD",0.08377633152735,FALSE,NA,NA,FALSE
"HDB",0.0392336312464458,FALSE,NA,NA,FALSE
"HMC",0.981921146787841,TRUE,0.8,0.8,FALSE
"HOOD",0.191070960890738,FALSE,0.4,0.4,FALSE
"HSBC",0.0372235141878271,FALSE,NA,NA,FALSE
"HTHIY",0.0675700752411874,FALSE,NA,NA,FALSE
"HUBS",0.0599040925996603,FALSE,0.65,0.65,FALSE
"IBM",0.0336081117216182,FALSE,0.65,0.65,FALSE
"IBN",0.105794882501712,FALSE,NA,NA,FALSE
"ICE",0.124567552075347,FALSE,NA,NA,FALSE
"INF",0.147637331349629,FALSE,NA,NA,FALSE
"INFY",0.0193602687855738,FALSE,NA,NA,FALSE
"INTC",0.186546228599415,FALSE,0.625,0.625,FALSE
"IQ",0.37529667612127,TRUE,0.8,0.8,FALSE
"ITOCY",0.139925979583238,FALSE,NA,NA,FALSE
"J",0.282661500797233,TRUE,NA,NA,FALSE
"JBL",0.0105365015970121,FALSE,0.425,0.425,FALSE
"JD",0.143734864623915,FALSE,0.725,0.725,FALSE
"JNJ",0.10144743086249,FALSE,0.55,0.55,FALSE
"JPM",0.0419315164619018,FALSE,NA,NA,FALSE
"KAOCF",0.0838654854981472,FALSE,0.625,0.625,FALSE
"KKR",0.0773753952379573,FALSE,NA,NA,FALSE
"KO",0.192553132804412,FALSE,NA,NA,FALSE
"KSPI",0.0242031154719183,FALSE,NA,NA,FALSE
"KYCCF",0.176523344703718,FALSE,0.35,0.35,FALSE
"LI",0.548771491837989,TRUE,0.9,0.9,FALSE
"LIN",0.187044177730973,FALSE,NA,NA,FALSE
"LLY",0.0444307343300478,FALSE,0.6,0.6,FALSE
"LMT",0.0963602970178967,FALSE,NA,NA,FALSE
"LRCX",0.0795628841428185,FALSE,0.4,0.4,FALSE
"MA",0.363137995175842,TRUE,NA,NA,FALSE
"MC",0.0596849829776914,FALSE,NA,NA,FALSE
"MCD",0.163043035684618,FALSE,NA,NA,FALSE
"MCO",0.0401932938189333,FALSE,NA,NA,FALSE
"MELI",0.0375918818820953,FALSE,0.675,0.675,FALSE
"META",0.110885199986059,FALSE,0.825,0.825,FALSE
"MFG",0.032105265970377,FALSE,NA,NA,FALSE
"MITSY",0.0152914066688646,FALSE,NA,NA,FALSE
"MKTX",0.0526500804854307,FALSE,NA,NA,FALSE
"MMM",0.00474520804450723,FALSE,0.6,0.6,FALSE
"MPNGF",0.051016728568794,FALSE,0.45,0.45,FALSE
"MQ",0.0305553425298739,FALSE,NA,NA,FALSE
"MRK",0.0216479477257837,FALSE,0.575,0.575,FALSE
"MS",0.207300069775795,FALSE,NA,NA,FALSE
"MSCI",0,FALSE,0.475,0.475,FALSE
"MSFT",0.179140197225977,FALSE,0.85,0.85,FALSE
"MU",0.198597077242959,FALSE,0.625,0.625,FALSE
"NDAQ",0.0502089037560147,FALSE,NA,NA,FALSE
"NEE",0.0952106658281147,FALSE,NA,NA,FALSE
"NET",0.0960200057571457,FALSE,0.525,0.525,FALSE
"NFLX",0.0815411012861008,FALSE,0.375,0.375,FALSE
"NIO",0.134036031934775,FALSE,NA,NA,FALSE
