"ticker","ai_score","innovation_score","ai_quartile","innovation_quartile","ai_label","innovation_label","in_portfolio"
"000660",0.825,0.55,2,1,"AI Follower","Emerging",TRUE
"005380",0.5625,0.375,1,1,"AI Laggard","Emerging",TRUE
"005930",0.825,0.55,2,1,"AI Follower","Emerging",TRUE
"035420",0.9375,0.625,2,1,"AI Follower","Emerging",TRUE
"035720",0.75,0.5,1,1,"AI Laggard","Emerging",TRUE
"051910",0.4875,0.325,1,1,"AI Laggard","Emerging",TRUE
"207940",0.525,0.35,1,1,"AI Laggard","Emerging",TRUE
"6501",0.45,0.3,1,1,"AI Laggard","Emerging",TRUE
"7974",0.75,0.5,1,1,"AI Laggard","Emerging",TRUE
"8TRA",0.6375,0.425,1,1,"AI Laggard","Emerging",TRUE
"9984",0.525,0.35,1,1,"AI Laggard","Emerging",TRUE
"AAPL",1.1625,0.775,4,3,"AI Leader","Strong",TRUE
"ABBV",1.2,0.8,4,3,"AI Leader","Strong",TRUE
"ABT",1.05,0.7,3,2,"AI Adopter","Developing",TRUE
"ADBE",1.125,0.75,4,3,"AI Leader","Strong",TRUE
"AFRM",0.9375,0.625,2,1,"AI Follower","Emerging",TRUE
"AMAT",0.8625,0.575,2,1,"AI Follower","Emerging",TRUE
"AMD",1.35,0.9,4,4,"AI Leader","Leader",TRUE
"AMT",0.675,0.45,1,1,"AI Laggard","Emerging",TRUE
"AMZN",1.35,0.9,4,4,"AI Leader","Leader",TRUE
"ANET",1.125,0.75,4,2,"AI Leader","Developing",TRUE
"ANT",0.9,0.6,2,2,"AI Follower","Developing",FALSE
"APD",0.7125,0.475,1,1,"AI Laggard","Emerging",TRUE
"APH",0.975,0.65,2,3,"AI Follower","Strong",TRUE
"APO",1.125,0.75,4,2,"AI Leader","Developing",TRUE
"ARES",0.9,0.6,2,1,"AI Follower","Emerging",TRUE
"ASAN",0.975,0.65,3,2,"AI Adopter","Developing",TRUE
"ASML",1.2,0.8,4,3,"AI Leader","Strong",TRUE
"AVGO",1.0125,0.675,3,1,"AI Adopter","Emerging",TRUE
"AXP",0.6375,0.425,1,1,"AI Laggard","Emerging",TRUE
"AZN",1.2,0.8,4,3,"AI Leader","Strong",TRUE
"BA",1.3125,0.875,4,3,"AI Leader","Strong",TRUE
"BABA",0.825,0.55,2,1,"AI Follower","Emerging",TRUE
"BAC",0.9375,0.625,2,1,"AI Follower","Emerging",TRUE
"BAM",1.05,0.7,3,2,"AI Adopter","Developing",TRUE
"BIDU",0.7875,0.525,1,1,"AI Laggard","Emerging",FALSE
"BILI",1.05,0.7,3,2,"AI Adopter","Developing",TRUE
"BILL",0.4875,0.325,1,1,"AI Laggard","Emerging",TRUE
"BIO",1.0125,0.675,3,3,"AI Adopter","Strong",TRUE
"BP",0.825,0.55,2,2,"AI Follower","Developing",TRUE
"BX",0.7875,0.525,1,1,"AI Laggard","Emerging",TRUE
"CAJPY",0.9,0.6,2,2,"AI Follower","Developing",FALSE
"CAT",1.0125,0.675,3,2,"AI Adopter","Developing",TRUE
"CBOE",0.9375,0.625,2,1,"AI Follower","Emerging",TRUE
"CME",0.7125,0.475,1,1,"AI Laggard","Emerging",TRUE
"COIN",0.975,0.65,3,2,"AI Adopter","Developing",TRUE
"CRM",0.8625,0.575,2,2,"AI Follower","Developing",TRUE
"CRWD",1.125,0.75,4,3,"AI Leader","Strong",TRUE
"CSCO",1.125,0.75,4,4,"AI Leader","Leader",TRUE
"CVX",0.4875,0.325,1,1,"AI Laggard","Emerging",TRUE
"DDOG",0.9375,0.625,2,2,"AI Follower","Developing",TRUE
"DE",1.05,0.7,3,4,"AI Adopter","Leader",TRUE
"DIS",0.9,0.6,2,2,"AI Follower","Developing",TRUE
"DOCU",1.1625,0.775,4,3,"AI Leader","Strong",TRUE
"DUK",0.9,0.6,2,2,"AI Follower","Developing",TRUE
"FSLY",0.8625,0.575,2,2,"AI Follower","Developing",TRUE
"GE",1.3875,0.925,4,4,"AI Leader","Leader",TRUE
