"ticker","ai_score_aggressive","ai_label_aggressive","high_potential_flag","unicorn_tier"
"000660",72.5,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"005380",58.75,"AI Follower",FALSE,"Monitor"
"005930",75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"035420",71.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"035720",71.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"051910",68.75,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"207940",28.75,"AI Laggard",FALSE,"Monitor"
"6501",52.5,"AI Follower",FALSE,"Monitor"
"7974",65,"AI Adopter",FALSE,"Growth Candidate"
"8TRA",45,"AI Laggard",FALSE,"Monitor"
"9984",56.25,"AI Follower",TRUE,"Emerging Unicorn Candidate"
"AAPL",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"ABBV",52.5,"AI Follower",FALSE,"Monitor"
"ABT",68.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"ADBE",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"AFRM",78.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"AMAT",55,"AI Follower",FALSE,"Monitor"
"AMD",47.5,"AI Laggard",FALSE,"Monitor"
"AMT",52.5,"AI Follower",FALSE,"Monitor"
"AMZN",92.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"ANET",68.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"ANT",73.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"APD",40,"AI Laggard",FALSE,"Monitor"
"APH",50,"AI Laggard",FALSE,"Monitor"
"APO",63.75,"AI Adopter",FALSE,"Monitor"
"ARES",68.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"ASAN",60,"AI Follower",FALSE,"Monitor"
"ASML",55,"AI Follower",FALSE,"Monitor"
"AVGO",48.75,"AI Laggard",FALSE,"Monitor"
"AXP",71.25,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"AZN",58.75,"AI Follower",FALSE,"Monitor"
"BA",66.25,"AI Adopter",FALSE,"Monitor"
"BABA",45,"AI Laggard",FALSE,"Monitor"
"BAC",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"BAM",71.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"BIDU",51.25,"AI Laggard",FALSE,"Monitor"
"BILI",71.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"BILL",71.25,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"BIO",86.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"BP",65,"AI Adopter",FALSE,"Growth Candidate"
"BX",53.75,"AI Follower",FALSE,"Monitor"
"CAJPY",63.75,"AI Adopter",FALSE,"Monitor"
"CAT",81.25,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"CBOE",60,"AI Follower",FALSE,"Growth Candidate"
"CME",41.25,"AI Laggard",FALSE,"Monitor"
"COIN",63.75,"AI Adopter",FALSE,"Monitor"
"CRM",83.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"CRWD",50,"AI Laggard",FALSE,"Monitor"
"CSCO",42.5,"AI Laggard",FALSE,"Monitor"
"CVX",42.5,"AI Laggard",FALSE,"Monitor"
"DDOG",65,"AI Adopter",FALSE,"Monitor"
"DE",62.5,"AI Adopter",FALSE,"Monitor"
"DIS",57.5,"AI Follower",FALSE,"Monitor"
"DOCU",61.25,"AI Follower",FALSE,"Monitor"
"DUK",71.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"FSLY",75,"AI Leader (Aggressive)",FALSE,"Monitor"
"GE",70,"AI Leader (Aggressive)",FALSE,"Monitor"
"GOOGL",82.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"GRAB",80,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"GS",56.25,"AI Follower",FALSE,"Monitor"
"HD",51.25,"AI Laggard",FALSE,"Monitor"
"HMC",33.75,"AI Laggard",FALSE,"Monitor"
"HOOD",73.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"HSBC",30,"AI Laggard",FALSE,"Monitor"
"HTHIY",68.75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"HUBS",80,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"IBM",87.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"IBN",50,"AI Laggard",FALSE,"Monitor"
"ICE",93.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"INF",73.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"INFY",28.75,"AI Laggard",FALSE,"Monitor"
"INTC",90,"AI Leader (Aggressive)",FALSE,"Monitor"
"IQ",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"J",86.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"JBL",37.5,"AI Laggard",FALSE,"Monitor"
"JD",67.5,"AI Adopter",FALSE,"Monitor"
"JNJ",57.5,"AI Follower",FALSE,"Monitor"
"JPM",41.25,"AI Laggard",FALSE,"Monitor"
"KKR",62.5,"AI Adopter",FALSE,"Growth Candidate"
"KO",52.5,"AI Follower",FALSE,"Monitor"
"KSPI",45,"AI Laggard",FALSE,"Monitor"
"LI",66.25,"AI Adopter",FALSE,"Monitor"
"LIN",51.25,"AI Laggard",FALSE,"Monitor"
"LLY",65,"AI Adopter",FALSE,"Monitor"
"LMT",40,"AI Laggard",FALSE,"Monitor"
"LRCX",48.75,"AI Laggard",FALSE,"Monitor"
"MA",90,"AI Leader (Aggressive)",FALSE,"Monitor"
"MC",46.25,"AI Laggard",FALSE,"Monitor"
"MCD",68.75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"MCO",62.5,"AI Adopter",FALSE,"Monitor"
"MELI",57.5,"AI Follower",FALSE,"Growth Candidate"
"META",52.5,"AI Follower",FALSE,"Monitor"
"MFG",87.5,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"MITSY",55,"AI Follower",FALSE,"Monitor"
"MKTX",61.25,"AI Follower",FALSE,"Growth Candidate"
"MMM",57.5,"AI Follower",FALSE,"Monitor"
"MQ",47.5,"AI Laggard",FALSE,"Monitor"
"MRK",48.75,"AI Laggard",FALSE,"Monitor"
"MS",63.75,"AI Adopter",FALSE,"Monitor"
"MSCI",60,"AI Follower",FALSE,"Growth Candidate"
"MSFT",62.5,"AI Adopter",FALSE,"Monitor"
"MU",67.5,"AI Adopter",FALSE,"Monitor"
"NDAQ",40,"AI Laggard",FALSE,"Monitor"
"NEE",46.25,"AI Laggard",FALSE,"Monitor"
"NET",73.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"NFLX",70,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"NIO",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"NJDCY",85,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"NOW",91.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"NSRGY",45,"AI Laggard",FALSE,"Monitor"
"NTES",87.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"NTRS",43.75,"AI Laggard",FALSE,"Monitor"
"NU",86.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"NVDA",52.5,"AI Follower",FALSE,"Monitor"
"NVO",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"NVS",56.25,"AI Follower",FALSE,"Monitor"
"OKTA",62.5,"AI Adopter",FALSE,"Monitor"
"OR",66.25,"AI Adopter",FALSE,"Monitor"
"ORCL",70,"AI Leader (Aggressive)",FALSE,"Monitor"
"PAGS",42.5,"AI Laggard",FALSE,"Monitor"
"PANW",61.25,"AI Follower",FALSE,"Monitor"
"PCOR",62.5,"AI Adopter",FALSE,"Monitor"
"PDD",67.5,"AI Adopter",FALSE,"Monitor"
"PFE",90,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"PG",61.25,"AI Follower",FALSE,"Monitor"
"PYPL",81.25,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"QCOM",47.5,"AI Laggard",FALSE,"Monitor"
"RELIANCE",65,"AI Adopter",FALSE,"Growth Candidate"
"RKUNY",67.5,"AI Adopter",FALSE,"Monitor"
"RMSG",65,"AI Adopter",FALSE,"Monitor"
"RTX",47.5,"AI Laggard",FALSE,"Monitor"
"SAIL",50,"AI Laggard",FALSE,"Monitor"
"SAP",56.25,"AI Follower",FALSE,"Monitor"
"SE",66.25,"AI Adopter",FALSE,"Monitor"
"SFTBF",42.5,"AI Laggard",FALSE,"Monitor"
"SHEL",47.5,"AI Laggard",FALSE,"Monitor"
"SHOP",68.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"SIEGY",41.25,"AI Laggard",FALSE,"Monitor"
"SMCAY",55,"AI Follower",FALSE,"Monitor"
"SMCI",60,"AI Follower",FALSE,"Monitor"
"SMFG",35,"AI Laggard",FALSE,"Monitor"
"SNOW",81.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"SNPS",48.75,"AI Laggard",FALSE,"Monitor"
"SNY",68.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"SOFI",41.25,"AI Laggard",FALSE,"Monitor"
"SONY",62.5,"AI Adopter",FALSE,"Monitor"
"SPGI",55,"AI Follower",FALSE,"Growth Candidate"
"SPOT",88.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"SQM",62.5,"AI Adopter",FALSE,"Growth Candidate"
"SSDOY",48.75,"AI Laggard",FALSE,"Monitor"
"STNE",67.5,"AI Adopter",TRUE,"Emerging Unicorn Candidate"
"STT",60,"AI Follower",FALSE,"Growth Candidate"
"T",73.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"TAK",68.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"TCOM",57.5,"AI Follower",FALSE,"Monitor"
"TEAM",52.5,"AI Follower",FALSE,"Monitor"
"TM",90,"AI Leader (Aggressive)",FALSE,"Monitor"
"TME",73.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"TMO",55,"AI Follower",FALSE,"Monitor"
"TOST",70,"AI Leader (Aggressive)",FALSE,"Monitor"
"TSLA",41.25,"AI Laggard",FALSE,"Monitor"
"TSM",77.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"TTDKY",38.75,"AI Laggard",FALSE,"Monitor"
"TTE",66.25,"AI Adopter",FALSE,"Monitor"
"TW",56.25,"AI Follower",FALSE,"Monitor"
"TWLO",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"TXN",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"UL",40,"AI Laggard",FALSE,"Monitor"
"UNH",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"UPS",61.25,"AI Follower",FALSE,"Monitor"
"V",62.5,"AI Adopter",FALSE,"Monitor"
"VIRT",68.75,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"VZ",65,"AI Adopter",FALSE,"Growth Candidate"
"WB",57.5,"AI Follower",FALSE,"Monitor"
"WDAY",77.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"WMT",60,"AI Follower",FALSE,"Growth Candidate"
"WORK",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"XOM",55,"AI Follower",FALSE,"Monitor"
"XPEV",65,"AI Adopter",FALSE,"Monitor"
